SQL_Statement,Char_Count,Word_Count,Query_Type,Tables,Table_Count,Join_Count,Aggregate,Nestedness_Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
"select star.objID, star.rowc, star.colc, star.ra, star.dec, star.u, star.g, star.r, star.i, star.z, SpecObj.class, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate, star.b, star.nObserve, star.nDetect, star.nEdge, star.score, star.nChild, star.probPSF from star, SpecObj where star.objID = specObj.targetObjID and SpecObj.fiberID = 596 and SpecObj.mjd = 55359 and SpecObj.run2d = 'v5_10_0' and SpecObj.plate = 4055",424,46,SELECT,"['STAR'],'SpecObj']",2,1,NO,0,22,0,0,0,5
" SELECT TOP 10000 s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning, g.h_beta_flux, g.h_alpha_flux, g.h_beta_flux_err, g.h_alpha_flux_err, e.bptclass, e.lgm_tot_p50, i.lick_hd_a_sub, i.d4000_n_sub, i.lick_hd_a_sub_err, i.d4000_n_sub_err, p.petror90_r FROM GalSpecLine AS g, SpecObj AS s, GalSpecExtra AS e, GalSpecIndx AS i, galaxy AS p WHERE s.specobjid = g.specobjid AND s.specobjid = e.specobjid AND s.specobjid = i.specobjid AND s.bestobjid = p.objid AND bptclass = 1 AND s.z BETWEEN 0.04 and 0.1 AND h_alpha_flux > h_alpha_flux_err*5.0 AND h_beta_flux > h_beta_flux_err*5.0 AND d4000_n_sub > d4000_n_sub_err*5.0 AND h_alpha_flux_err > 0 AND h_beta_flux_err > 0 AND h_alpha_flux > 2.7*h_beta_flux AND lgm_tot_p50 > 0 AND sigma_balmer < 509.55 AND s.class = 'GALAXY' AND s.zwarning = 0 ",795,103,SELECT,"['GALSPECLINE','SpecObj','GalSpecExtra','GalSpecIndx','galaxy']",5,4,NO,0,18,0,0,0,17
select text from DBObjects where name='Galaxy',46,6,SELECT,['DBOBJECTS'],1,0,NO,0,1,0,0,0,1
"select top 12000 p.objid, p.field, p.ra, p.dec, p.b, p.l, p.run, p.mjd, s.plate, s.fiberid, s.z, s.class from specobj as s join photoobj as p on p.objid=s.bestobjid where p.ra between 150 and 240 and p.dec between 0 and 3 and s.z between 0.005 and 0.2 and p.r between 13.5 and 17.7",281,49,SELECT,"['SPECOBJ', 'PHOTOOBJ']",2,1,NO,0,12,0,0,0,5
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between 125.46676 and 125.74822) and (dec between 61.22044 and 61.44999)",287,31,SELECT,['PHOTOPRIMARY'],1,0,NO,0,16,0,0,0,1
" SELECT top 20 specObjID, fiberID, mjd, plate, run2d, ra, dec FROM SpecObj WHERE run2d='v5_13_2' AND ra BETWEEN 200 AND 220",123,20,SELECT,['SPECOBJ'],1,0,NO,0,7,0,0,0,2
 SELECT top 20 specObjID FROM SpecObj WHERE run2d='nonexistent',63,8,SELECT,['SPECOBJ'],1,0,NO,0,1,0,0,0,1
"SELECT top 1 SpecObj.specObjID, SpecObj.ra, SpecObj.dec, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate from SpecObj",128,12,SELECT,['SPECOBJ'],1,0,NO,0,7,0,0,0,0
"select top 12000 objid, z,((z+1)*(z+1)-1)/((z+1)*(z+1)+1) as z_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792 as Kmsec_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792/67.4 as DistMpc_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792*3.26/67.4 as DistMly_zr, ra, dec, class,subclass, psfmag_r from specphoto where ra between 150 and 240 and dec between 0 and 3 and z between 0.005 and 0.2 and psfmag_r between 13.5 and 17.7",406,46,SELECT,['SPECPHOTO'],1,0,NO,0,11,0,0,0,4
select name from sysobjects where type='p' and category=0 order by name asc,75,12,SELECT,['SYSOBJECTS'],1,0,NO,0,1,0,0,0,2
"select name from sysobjects where xtype in (N'FN', N'IF', N'TF', N'FS', N'FT') order by name asc",96,16,SELECT,['SYSOBJECTS'],1,0,NO,0,1,0,0,0,1
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_g, type_g, psfMagErr_g FROM PhotoPrimary WHERE (ra between 198.27956 and 198.60239) and (dec between 6.74765 and 7.09409)",285,31,SELECT,['PHOTOPRIMARY'],1,0,NO,0,16,0,0,0,1
"SELECT TOP 1 rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN 125.427975 and 125.467975 AND dec BETWEEN 17.771767 and 17.811767 ",131,20,SELECT,['PHOTOOBJ'],1,0,NO,0,3,0,0,0,2
select dbo.fGetUrlFitsSpectrum(8255250786331940864) as url,58,4,SELECT,[],0,0,NO,0,0,0,1,1,0
"select top 5000 p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(3,3,0.6) n  where p.objId=n.objId",287,13,SELECT,['PHOTOPRIMARY'],1,1,NO,0,24,0,2,2,1
select description from DataConstants where field='PhotoMode'  and [name]='',76,8,SELECT,['DATACONSTANTS'],1,0,NO,0,1,0,0,0,2
"select name, type, description from DBObjects where  type in ('F','P') and access='U' and UPPER(name) like '%PhotoMode%'",120,16,SELECT,['DBOBJECTS'],1,0,NO,0,3,0,0,0,3
select text from DBObjects where name='stellarMassPCAWiscBC03',62,6,SELECT,['DBOBJECTS'],1,0,NO,0,1,0,0,0,1
"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns('PhotoObj') ORDER BY [columnID]",122,13,SELECT,['dbo.fDocColumns'],1,0,NO,0,7,0,1,1,0
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1090 AND s.mjd=52903 AND s.fiberid=135)",170,23,SELECT,"['SPECOBJALL', 'PHOTOOBJALL']",2,1,NO,0,4,0,0,0,4
drop table [MyTable_41],23,3,DROP,[[MyTable_41]],1,0,NO,0,0,0,0,0,0
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-55075'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_",1659,124,SELECT,"['MANGADAPALL', 'MANGADRPALL']",2,1,NO,0,76,0,0,0,3
"select top 20 ra,dec,class,z,zErr,zWarning,elodieBV into mydb.mytestv5 from specobj 
where class = 'QSO' ",105,12,SELECT,"['SPECOBJ', 'mydb.mytestv5']",2,0,NO,0,7,0,0,0,1
"CREATE TABLE upload ( up_id int, up_name varchar(32), up_ra float, up_dec float ) 
",83,13,CREATE,[upload],1,0,NO,0,0,0,0,0,0
"INSERT INTO upload values ( 1, 'A1', 15.5, 0.5),( 2, 'A2', 14.5, 0.6),( 3, 'A3', 13.9, 0.8),( 4, 'A4', 197.614, 18.438)",119,21,INSERT,['UPLOAD'],1,0,NO,0,0,0,0,0,0
"SELECT u.up_name as name, _x000D_
 p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,_x000D_
 dbo.fPhotoTypeN(p.type) as type,_x000D_
 p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z_x000D_
FROM #upload u_x000D_
 JOIN #x x ON x.up_id = u.up_id_x000D_
 JOIN PhotoTag p ON p.objID = x.objID_x000D_
ORDER by x.up_id_x000D_
','5000', @log=0, @filter=1",374,43,SELECT,"['PHOTOTAG',#upload,#x]",3,2,NO,0,14,0,1,1,2
"DECLARE @MaxZSep float set @MaxZSep=0.001; 
DECLARE @MaxZ float set @MaxZ=0.0576502;
DECLARE @ConvFact float set @ConvFact=3437.746771; 
DECLARE @IsoDistMPC float set @IsoDistMPC=0.05; 
DECLARE @Coef float set @Coef=@IsoDistMPC*@ConvFact 
SELECT mga.plateifu, mga.objra AS MGS_ra, mga.objdec AS MGS_dec, mga.nsa_z as MGS_z, n.objid as NGB_Id, n.distance as NGB_DistAM, ABS(mga.nsa_z-s.z) as Zsep, p.ra AS NGB_ra, p.dec AS NGB_dec, s.z as NGB_z, s.zWarning, s.class, s.subClass, ms.logMass_noMassLoss
INTO MyDB.AllNeighAt50kpcNoz_AGN
FROM MyDB.MaNGA_Sources AS mga
  OUTER APPLY dbo.fGetNearbyObjEq(mga.objra, mga.objdec, @Coef/dbo.fCosmoDa(mga.nsa_z,0.27,0.73,0,-1,0.73)) AS n
LEFT JOIN PhotoObj AS p ON n.objid=p.objid
LEFT JOIN SpecObj s ON n.objid=s.bestObjID
LEFT JOIN stellarMassStarformingPort ms ON ms.specObjID = s.specObjID
WHERE mga.nsa_z > 0
AND (s.class = 'GALAXY' OR s.class = 'QSO') 
ORDER BY mga.plateifu",919,107,DECLARE,"['SPECOBJ', 'STELLARMASSSTARFORMINGPORT', 'PHOTOOBJ', 'MyDB.MaNGA_Non_AGN',dbo.fGetNearbyObjEq]",5,4,NO,0,14,0,2,2,6
"SELECT PhotoObjDR7.ra, PhotoObjDR7.dec_x000D_
FROM PhotoObjDR7_x000D_
WHERE run=94 and field=512 and camcol=6",109,11,SELECT,['PHOTOOBJDR7_X000D_'],1,0,NO,0,2,0,0,0,3
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1161 AND s.mjd=52703 AND s.fiberid=322)",170,23,SELECT,"['SPECOBJALL', 'PHOTOOBJALL']",2,1,NO,0,4,0,0,0,4
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 131.30115040466666 AND 131.30281707133332_x000D_
 AND s.dec BETWEEN 29.305402637066667 AND 29.307069303733332_x000D_
",1218,107,SELECT,"['SPECOBJALL', 'PLATEX', 'PHOTOOBJALL']",3,2,NO,0,67,0,0,0,5
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-379202'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
",1660,124,SELECT,"['MANGADAPALL', 'MANGADRPALL']",2,1,NO,0,76,0,0,0,2
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237667254014248182",88,11,SELECT,['PHOTOZ'],1,0,NO,0,4,0,0,0,1
"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=5407 AND s.mjd=55926 AND s.fiberid=835)",245,32,SELECT,"['SPECOBJALL', 'PHOTOOBJALL']",2,1,NO,0,13,0,0,0,4
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 229.47294536166666 AND 229.47461202833333_x000D_
 AND s.dec BETWEEN 34.655303916566666 AND 34.65697058323333_x000D_
",1217,107,SELECT,"['SPECOBJALL', 'PLATEX', 'PHOTOOBJALL']",3,2,NO,0,67,0,0,0,5
"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=5047 AND s.mjd=55833 AND s.fiberid=40)",244,32,SELECT,"['SPECOBJALL', 'PHOTOOBJALL']",2,1,NO,0,13,0,0,0,4
exec sp_spaceUsed [lamost_dr10_radec_noparam1],46,3,EXEC,[],0,0,NO,0,0,0,0,0,0
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_noqso, s.zErr_noqso, s.zWarning_noqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 141.42646650866666 AND 141.42813317533333_x000D_
 AND s.dec BETWEEN 35.30521241606667 AND 35.30687908273333_x000D_
",1216,107,SELECT,"['SPECOBJALL', 'PLATEX', 'PHOTOOBJALL']",3,2,NO,0,67,0,0,0,5
