SQL_Statement,Char_Count,Word Count,Query Type,Tables,Table Count,Aggregate,Join Count,Nestedness Level,Column_Count,Aggregate_Count,UDF_Count,Function_Count,Predicate_Count
SELECT Major_Record_Format FROM orchestra GROUP BY Major_Record_Format ORDER BY COUNT(*) ASC,92,11,SELECT,['ORCHESTRA'],1,YES,0,0,1,1,0,1,0
SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,124,21,SELECT,"['AIRLINES', 'FLIGHTS']",2,YES,1,0,1,1,0,1,2
SELECT count(*) FROM Dogs WHERE age  <  ( SELECT avg(age) FROM Dogs ),69,13,SELECT,['DOGS'],1,YES,0,1,1,2,0,2,1
"SELECT T1.country_code ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id ORDER BY T2.tours DESC LIMIT 1",142,22,SELECT,"['PLAYERS', 'RANKINGS']",2,NO,1,0,2,0,0,0,1
"SELECT vote_id ,  phone_number ,  state FROM votes",50,8,SELECT,['votes'],1,NO,0,0,3,0,0,0,0
"SELECT T1.document_id ,  T2.document_name FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id GROUP BY T1.document_id ORDER BY count(*) DESC LIMIT 1",176,25,SELECT,"['DOCUMENTS', 'PARAGRAPHS']",2,YES,1,0,2,1,0,1,1
SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1,77,10,SELECT,['TRANSCRIPTS'],1,NO,0,0,1,0,0,0,0
SELECT Hometown FROM teacher GROUP BY Hometown ORDER BY COUNT(*) DESC LIMIT 1,77,13,SELECT,['TEACHER'],1,YES,0,0,1,1,0,1,0
SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid),128,22,SELECT,"['HAS_PET', 'STUDENT']",2,YES,1,1,1,1,0,1,2
"SELECT Final_Table_Made ,  Best_Finish FROM poker_player",56,6,SELECT,['poker_player'],1,NO,0,0,2,0,0,0,0
SELECT T1.degree_summary_name FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id GROUP BY T1.degree_summary_name ORDER BY count(*) DESC LIMIT 1,197,23,SELECT,"['STUDENT_ENROLMENT', 'DEGREE_PROGRAMS']",2,YES,1,0,1,1,0,1,1
SELECT Name FROM singer ORDER BY Net_Worth_Millions ASC,55,8,SELECT,['SINGER'],1,NO,0,0,1,0,0,0,0
SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland',148,17,SELECT,['PARAGRAPHS'],1,NO,0,0,1,0,0,0,2
SELECT count(*) FROM AIRLINES,29,4,SELECT,['AIRLINES'],1,YES,0,0,1,1,0,1,0
"SELECT avg(loser_age) ,  avg(winner_age) FROM matches",53,6,SELECT,['matches'],1,YES,0,0,2,2,0,2,0
"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",126,18,SELECT,"['AIRPORTS', 'FLIGHTS']",2,NO,1,0,1,0,0,0,2
"SELECT Name FROM teacher WHERE Hometown != ""Little Lever Urban Distric""",71,11,SELECT,['TEACHER'],1,NO,0,0,1,0,0,0,1
"SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" AND T2.IsOfficial  =  ""T"" INTERSECT SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""French"" AND T2.IsOfficial  =  ""T""",306,45,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,NO,2,0,1,0,0,0,6
"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",56,9,SELECT,['PETS'],1,YES,0,0,2,1,0,1,0
"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Continent  =  ""Asia"" GROUP BY T2.Language ORDER BY COUNT (*) DESC LIMIT 1",177,28,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,YES,1,0,1,1,0,1,2
SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),139,21,SELECT,"['HIGHSCHOOLER', 'FRIEND']",2,YES,1,1,1,1,0,1,2
"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",261,41,SELECT,"['STADIUM', 'CONCERT']",2,NO,2,0,2,0,0,0,4
"SELECT count(DISTINCT series_name) ,  count(DISTINCT content) FROM TV_Channel;",78,8,SELECT,['TV_Channel'],1,YES,0,0,2,2,0,2,0
"SELECT T2.Name ,  COUNT(*) FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name",123,19,SELECT,"['COURSE_ARRANGE', 'TEACHER']",2,YES,1,0,2,1,0,1,1
"SELECT T1.killed ,  T1.injured FROM death AS T1 JOIN ship AS t2 ON T1.caused_by_ship_id  =  T2.id WHERE T2.tonnage  =  't'",122,20,SELECT,"['SHIP', 'DEATH AS']",2,NO,1,0,2,0,0,0,2
"SELECT T1.first_name ,  T1.country_code ,  T1.birth_date FROM players AS T1 JOIN matches AS T2 ON T1.player_id  =  T2.winner_id ORDER BY T2.winner_rank_points DESC LIMIT 1",171,24,SELECT,"['PLAYERS', 'MATCHES']",2,NO,1,0,3,0,0,0,1
SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,147,24,SELECT,"['CARS_DATA', 'CAR_NAMES']",2,NO,1,0,1,0,0,0,2
"SELECT count(*) ,  student_course_id FROM Transcript_Contents GROUP BY student_course_id ORDER BY count(*) DESC LIMIT 1",119,15,SELECT,['TRANSCRIPT_CONTENTS'],1,YES,0,0,2,2,0,2,0
SELECT DISTINCT country FROM singer WHERE age  >  20,52,9,SELECT,['SINGER'],1,NO,0,0,1,0,0,0,1
"SELECT petid ,  weight FROM pets WHERE pet_age  >  1",52,10,SELECT,['PETS'],1,NO,0,0,2,0,0,0,1
"SELECT property_name FROM Properties WHERE property_type_code  =  ""House"" UNION SELECT property_name FROM Properties WHERE property_type_code  =  ""Apartment"" AND room_count  >  1",178,21,SELECT,['PROPERTIES'],1,NO,0,0,1,0,0,0,3
SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,51,8,SELECT,['CARS_DATA'],1,YES,0,0,1,1,0,1,1
SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) DESC LIMIT 1,191,27,SELECT,"['AIRPORTS', 'FLIGHTS']",2,YES,1,0,1,1,0,1,2
SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),143,22,SELECT,"['HIGHSCHOOLER', 'FRIEND']",2,YES,1,1,1,1,0,1,2
"SELECT avg(LifeExpectancy) FROM country WHERE Name NOT IN (SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" AND T2.IsOfficial  =  ""T"")",208,30,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,YES,1,1,1,1,0,1,4
"SELECT sum(Population) ,  max(GNP) FROM country WHERE Continent  =  ""Asia""",74,10,SELECT,['COUNTRY'],1,YES,0,0,2,2,0,2,1
SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',105,18,SELECT,"['HAS_PET', 'STUDENT']",2,NO,1,0,1,0,0,0,2
SELECT Money_Rank FROM poker_player ORDER BY Earnings DESC LIMIT 1,66,10,SELECT,['POKER_PLAYER'],1,NO,0,0,1,0,0,0,0
"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1",75,12,SELECT,['MATCHES'],1,NO,0,0,2,0,0,0,0
SELECT course_description FROM Courses WHERE course_name  =  'math',67,8,SELECT,['COURSES'],1,NO,0,0,1,0,0,0,1
"SELECT T2.horsepower ,  T1.Make FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.cylinders  =  3 ORDER BY T2.horsepower DESC LIMIT 1;",158,26,SELECT,"['CARS_DATA', 'CAR_NAMES']",2,NO,1,0,2,0,0,0,2
SELECT name FROM visitor WHERE Level_of_membership  >  4 ORDER BY Level_of_membership DESC,90,12,SELECT,['VISITOR'],1,NO,0,0,1,0,0,0,1
SELECT max(age) FROM Dogs,25,4,SELECT,['Dogs'],1,YES,0,0,1,1,0,1,0
SELECT name FROM museum WHERE Museum_ID NOT IN (SELECT museum_id FROM visit),76,12,SELECT,"['MUSEUM','visit']",2,NO,0,1,1,0,0,0,1
"SELECT Country ,  count(*) FROM TV_Channel GROUP BY Country ORDER BY count(*) DESC LIMIT 1;",91,15,SELECT,['TV_CHANNEL'],1,YES,0,0,2,2,0,2,0
"SELECT DISTINCT T1.first_name ,  T3.treatment_type_description FROM professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id JOIN Treatment_types AS T3 ON T2.treatment_type_code  =  T3.treatment_type_code",234,25,SELECT,"['TREATMENT_TYPES', 'PROFESSIONALS', 'TREATMENTS']",3,NO,2,0,2,0,0,0,2
"SELECT COUNT( DISTINCT Continent) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Chinese""",141,20,SELECT,"['COUNTRYLANGUAGE', 'COUNTRY']",2,YES,1,0,1,1,0,1,2
SELECT Nationality FROM people GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1,82,13,SELECT,['PEOPLE'],1,YES,0,0,1,1,0,1,0
"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",88,10,SELECT,['DOCUMENTS'],1,NO,0,0,2,0,0,0,1
SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1,91,13,SELECT,['ORCHESTRA'],1,YES,0,0,1,1,0,1,0
SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),71,12,SELECT,['SHOP'],1,NO,0,1,1,0,0,0,1
"SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""",108,13,SELECT,['DOCUMENTS'],1,NO,0,0,3,0,0,0,1
SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,90,11,SELECT,['TEMPLATES'],1,YES,0,0,1,1,0,1,1
SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.grade  >  5 GROUP BY T1.student_id HAVING count(*)  >=  2,150,25,SELECT,"['HIGHSCHOOLER', 'FRIEND']",2,YES,1,0,1,1,0,1,3
"SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'Lettice' INTERSECT SELECT T1.name ,  T1.date FROM battle AS T1 JOIN ship AS T2 ON T1.id  =  T2.lost_in_battle WHERE T2.name  =  'HMS Atalanta'",252,42,SELECT,"['SHIP', 'BATTLE']",2,NO,2,0,2,0,0,0,3
"SELECT section_name ,  section_description FROM Sections",56,6,SELECT,['Sections'],1,NO,0,0,2,0,0,0,0
SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,97,17,SELECT,['SINGER'],1,NO,0,0,1,0,0,0,2
"SELECT name ,  age ,  weight FROM Dogs WHERE abandoned_yn  =  1",63,12,SELECT,['DOGS'],1,NO,0,0,3,0,0,0,1
SELECT count(*) FROM Documents,30,4,SELECT,['Documents'],1,YES,0,0,1,1,0,1,0
SELECT count(*) FROM battle WHERE id NOT IN ( SELECT lost_in_battle FROM ship WHERE tonnage  =  '225' );,104,18,SELECT,"['SHIP', 'BATTLE']",2,YES,0,1,1,1,0,1,2
SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,74,9,SELECT,['Documents'],1,NO,0,0,1,0,0,0,0
"SELECT Name FROM country WHERE Continent  =  ""Africa""  AND population  <  (SELECT min(population) FROM country WHERE Continent  =  ""Asia"")",138,19,SELECT,['COUNTRY'],1,NO,0,1,1,1,0,1,3
SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33,55,12,SELECT,['TEACHER'],1,NO,0,0,1,0,0,0,2
"SELECT Age ,  Hometown FROM teacher",35,6,SELECT,['teacher'],0,NO,0,0,2,0,0,0,0
"SELECT avg(ranking) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",131,19,SELECT,"['PLAYERS AS T1', 'RANKINGS']",2,YES,1,0,2,1,0,1,1
SELECT count(*) FROM area_code_state,36,4,SELECT,['area_code_state'],1,YES,0,0,1,1,0,1,0
"SELECT avg(num_of_ticket) ,  max(num_of_ticket) FROM visit",58,6,SELECT,['visit'],1,YES,0,0,2,2,0,2,0
"SELECT T2.department_name ,  T1.department_id FROM Degree_Programs AS T1 JOIN Departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id ORDER BY count(*) DESC LIMIT 1",193,25,SELECT,"['DEPARTMENTS', 'DEGREE_PROGRAMS']",2,YES,1,0,2,1,0,1,1
"SELECT Title FROM Cartoon WHERE Directed_by = ""Ben Jones"" OR Directed_by = ""Brandon Vietti"";",92,14,SELECT,['CARTOON'],1,NO,0,0,1,0,0,0,2
SELECT Record_Company FROM orchestra ORDER BY Year_of_Founded DESC,66,8,SELECT,['ORCHESTRA'],1,NO,0,0,1,0,0,0,0
SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,246,41,SELECT,"['CARS_DATA', 'CAR_NAMES', 'CAR_MAKERS', 'MODEL_LIST']",4,NO,3,0,1,0,0,0,5
SELECT T1.AirportCode FROM AIRPORTS AS T1 JOIN FLIGHTS AS T2 ON T1.AirportCode  =  T2.DestAirport OR T1.AirportCode  =  T2.SourceAirport GROUP BY T1.AirportCode ORDER BY count(*) LIMIT 1,186,26,SELECT,"['AIRPORTS', 'FLIGHTS']",2,YES,1,0,1,1,0,1,2
"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",66,12,SELECT,['STADIUM'],1,NO,0,0,2,0,0,0,0
SELECT count(*) FROM Other_Available_Features,45,4,SELECT,['Other_Available_Features'],1,YES,0,0,1,1,0,1,0
"SELECT Name ,  Population ,  LifeExpectancy FROM country WHERE Continent  =  ""Asia"" ORDER BY SurfaceArea DESC LIMIT 1",117,18,SELECT,['COUNTRY'],1,NO,0,0,3,0,0,0,1
"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""",68,10,SELECT,['AIRLINES'],1,NO,0,0,2,0,0,0,1
"SELECT sum(ranking_points) ,  T1.first_name FROM players AS T1 JOIN rankings AS T2 ON T1.player_id  =  T2.player_id GROUP BY T1.first_name",138,19,SELECT,"['PLAYERS', 'RANKINGS']",2,YES,1,0,2,1,0,1,1
"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",122,19,SELECT,"['STADIUM', 'CONCERT']",2,YES,1,0,2,1,0,1,1
"SELECT document_id ,  document_name ,  document_description FROM Documents",74,8,SELECT,['Documents'],1,NO,0,0,3,0,0,0,0
SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,142,23,SELECT,"['STADIUM', 'CONCERT']",2,NO,1,0,1,0,0,0,2
SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,113,17,SELECT,['MATCHES'],1,NO,0,0,1,0,0,0,2
"SELECT Name FROM people WHERE Nationality != ""Russia""",53,8,SELECT,['PEOPLE'],1,NO,0,0,1,0,0,0,1
SELECT name FROM employee ORDER BY age,38,7,SELECT,['EMPLOYEE'],1,NO,0,0,1,0,0,0,0
SELECT count(DISTINCT Nationality) FROM conductor,49,5,SELECT,['conductor'],1,YES,0,0,1,1,0,1,0
SELECT DISTINCT T1.Year FROM CARS_DATA AS T1 WHERE T1.Weight  >  3000 AND T1.weight  <  4000;,93,15,SELECT,['CARS_DATA'],1,NO,0,0,1,0,0,0,2
"SELECT package_option ,  series_name FROM TV_Channel WHERE hight_definition_TV  =  ""yes""",88,10,SELECT,['TV_CHANNEL'],1,NO,0,0,2,0,0,0,1
SELECT name FROM Highschooler EXCEPT SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id,120,19,SELECT,"['HIGHSCHOOLER', 'FRIEND']",2,NO,1,0,1,0,0,0,1
SELECT Name FROM singer ORDER BY Net_Worth_Millions DESC LIMIT 1,64,10,SELECT,['SINGER'],1,NO,0,0,1,0,0,0,0
"SELECT first_name ,  last_name FROM players WHERE hand  =  'L' ORDER BY birth_date",82,13,SELECT,['PLAYERS'],1,NO,0,0,2,0,0,0,1
SELECT Name FROM conductor ORDER BY Year_of_Work DESC,53,8,SELECT,['CONDUCTOR'],1,NO,0,0,1,0,0,0,0
"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",97,17,SELECT,"['HAS_PET', 'STUDENT']",2,NO,1,0,2,0,0,0,1
"SELECT count(*) FROM FLIGHTS WHERE DestAirport  =  ""ATO""",56,8,SELECT,['FLIGHTS'],1,YES,0,0,1,1,0,1,1
"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",59,11,SELECT,['PETS'],1,NO,0,0,2,0,0,0,0
"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",66,9,SELECT,['DOCUMENTS'],1,YES,0,0,2,1,0,1,0
"SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1",200,33,SELECT,"['TREATMENTS', 'OWNERS', 'DOGS']",3,YES,2,0,2,1,0,1,2
SELECT T1.CountryName FROM COUNTRIES AS T1 JOIN CONTINENTS AS T2 ON T1.Continent  =  T2.ContId JOIN CAR_MAKERS AS T3 ON T1.CountryId  =  T3.Country WHERE T2.Continent  =  'europe' GROUP BY T1.CountryName HAVING count(*)  >=  3;,227,33,SELECT,"['CONTINENTS', 'COUNTRIES', 'CAR_MAKERS']",3,YES,2,0,1,1,0,1,4
SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200,122,18,SELECT,"['POKER_PLAYER', 'PEOPLE']",2,YES,1,0,1,1,0,1,2
"SELECT T2.Title FROM TV_Channel AS T1 JOIN Cartoon AS T2 ON T1.id = T2.Channel WHERE T1.series_name = ""Sky Radio"";",114,19,SELECT,"['TV_CHANNEL', 'CARTOON']",2,NO,1,0,1,0,0,0,2
SELECT count(DISTINCT pettype) FROM pets,40,5,SELECT,['pets'],1,YES,0,0,1,1,0,1,0
SELECT sum(bonus) FROM evaluation,33,4,SELECT,['evaluation'],1,YES,0,0,1,1,0,1,0
SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,53,8,SELECT,['CARS_DATA'],1,YES,0,0,1,1,0,1,1
"SELECT line_1 ,  line_2 FROM addresses",38,6,SELECT,['addresses'],1,NO,0,0,2,0,0,0,0
"SELECT DISTINCT breed_code ,  size_code FROM dogs",49,7,SELECT,['dogs'],1,NO,0,0,2,0,0,0,0
"SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  ""Math""",172,26,SELECT,"['COURSE_ARRANGE', 'COURSE', 'TEACHER']",3,NO,2,0,1,0,0,0,3
SELECT grade FROM Highschooler,30,4,SELECT,['Highschooler'],,NO,0,0,1,0,0,0,0
"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",204,30,SELECT,"['AIRPORTS', 'FLIGHTS']",2,YES,2,0,1,1,0,1,4
"SELECT email_address ,  cell_number ,  home_phone FROM professionals",68,8,SELECT,['professionals'],1,NO,0,0,3,0,0,0,0
"SELECT Package_Option FROM TV_Channel WHERE series_name = ""Sky Radio"";",70,9,SELECT,['TV_CHANNEL'],1,NO,0,0,1,0,0,0,1
SELECT T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID GROUP BY T1.Name HAVING COUNT(*)  >  1,120,21,SELECT,"['SONG', 'SINGER']",2,YES,1,0,1,1,0,1,2
