SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,query_equility,query_equility_type
"SELECT MIN(n.name) AS voicing_actress,
       MIN(t.title) AS jap_engl_voiced_movie
FROM aka_name AS an,
     char_name AS chn,
     cast_info AS ci,
     company_name AS cn,
     info_type AS it,
     movie_companies AS mc,
     movie_info AS mi,
     name AS n,
     role_type AS rt,
     title AS t
WHERE ci.note IN ('(voice)',
                  '(voice: Japanese version)',
                  '(voice) (uncredited)',
                  '(voice: English version)')
  AND cn.country_code ='[us]'
  AND it.info = 'release dates'
  AND mi.info IS NOT NULL
  AND (mi.info LIKE 'Japan:%200%'
       OR mi.info LIKE 'USA:%200%')
  AND n.gender ='f'
  AND n.name LIKE '%An%'
  AND rt.role ='actress'
  AND t.production_year > 2000
  AND t.id = mi.movie_id
  AND t.id = mc.movie_id
  AND t.id = ci.movie_id
  AND mc.movie_id = ci.movie_id
  AND mc.movie_id = mi.movie_id
  AND mi.movie_id = ci.movie_id
  AND cn.id = mc.company_id
  AND it.id = mi.info_type_id
  AND n.id = ci.person_id
  AND rt.id = ci.role_id
  AND n.id = an.person_id
  AND ci.person_id = an.person_id
  AND chn.id = ci.person_role_id;","SELECT 
    MIN(voice_actress.name) AS voicing_actress,
    MIN(voice_movie.title) AS jap_engl_voiced_movie
FROM (
    SELECT t.title, t.id
    FROM title AS t
    JOIN movie_info AS mi ON t.id = mi.movie_id
    WHERE mi.info IS NOT NULL
      AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%')
      AND t.production_year > 2000
) AS voice_movie
JOIN cast_info AS ci ON voice_movie.id = ci.movie_id
JOIN (
    SELECT n.id, n.name
    FROM name AS n
    WHERE n.gender = 'f' AND n.name LIKE '%An%'
) AS voice_actress ON voice_actress.id = ci.person_id
JOIN role_type AS rt ON ci.role_id = rt.id
JOIN aka_name AS an ON an.person_id = ci.person_id
JOIN char_name AS chn ON chn.id = ci.person_role_id
JOIN movie_companies AS mc ON mc.movie_id = voice_movie.id
JOIN company_name AS cn ON cn.id = mc.company_id AND cn.country_code = '[us]'
JOIN info_type AS it ON it.id = mi.info_type_id AND it.info = 'release dates'
WHERE rt.role = 'actress'
  AND ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)');",Equivalent,Subquery_Conditions,YES,YES,Join_Structure
"SELECT MIN(n.name) AS voicing_actress,
       MIN(t.title) AS jap_engl_voiced_movie
FROM aka_name AS an,
     char_name AS chn,
     cast_info AS ci,
     company_name AS cn,
     info_type AS it,
     movie_companies AS mc,
     movie_info AS mi,
     name AS n,
     role_type AS rt,
     title AS t
WHERE ci.note IN ('(voice)',
                  '(voice: Japanese version)',
                  '(voice) (uncredited)',
                  '(voice: English version)')
  AND cn.country_code ='[us]'
  AND it.info = 'release dates'
  AND n.gender ='f'
  AND rt.role ='actress'
  AND t.production_year > 2000
  AND t.id = mi.movie_id
  AND t.id = mc.movie_id
  AND t.id = ci.movie_id
  AND mc.movie_id = ci.movie_id
  AND mc.movie_id = mi.movie_id
  AND mi.movie_id = ci.movie_id
  AND cn.id = mc.company_id
  AND it.id = mi.info_type_id
  AND n.id = ci.person_id
  AND rt.id = ci.role_id
  AND n.id = an.person_id
  AND ci.person_id = an.person_id
  AND chn.id = ci.person_role_id;","do these sql queries equivalent to each other? SELECT MIN(n.name) AS voicing_actress,
       MIN(t.title) AS jap_engl_voiced_movie
FROM aka_name AS an,
     char_name AS chn,
     cast_info AS ci,
     company_name AS cn,
     info_type AS it,
     movie_companies AS mc,
     movie_info AS mi,
     name AS n,
     role_type AS rt,
     title AS t
WHERE ci.note IN ('(voice)',
                  '(voice: Japanese version)',
                  '(voice) (uncredited)',
                  '(voice: English version)')
  AND cn.country_code ='[us]'
  AND it.info = 'release dates'
  AND n.gender ='f'
  AND rt.role ='actress'
  AND t.production_year > 2000
  AND t.id = mi.movie_id
  AND t.id = mc.movie_id
  AND t.id = ci.movie_id
  AND mc.movie_id = ci.movie_id
  AND mc.movie_id = mi.movie_id
  AND mi.movie_id = ci.movie_id
  AND cn.id = mc.company_id
  AND it.id = mi.info_type_id
  AND n.id = ci.person_id
  AND rt.id = ci.role_id
  AND n.id = an.person_id
  AND ci.person_id = an.person_id
  AND chn.id = ci.person_role_id; and SELECT 
    MIN(CASE WHEN n.gender = 'f' AND rt.role = 'actress' THEN n.name ELSE NULL END) AS voicing_actress,
    MIN(CASE WHEN it.info = 'release dates' THEN t.title ELSE NULL END) AS jap_engl_voiced_movie
FROM aka_name AS an,
     char_name AS chn,
     cast_info AS ci,
     company_name AS cn,
     info_type AS it,
     movie_companies AS mc,
     movie_info AS mi,
     name AS n,
     role_type AS rt,
     title AS t
WHERE ci.note IN ('(voice)', '(voice: Japanese version)', '(voice) (uncredited)', '(voice: English version)')
  AND cn.country_code = '[us]'
  AND t.production_year > 2000
  AND t.id = mi.movie_id
  AND t.id = mc.movie_id
  AND t.id = ci.movie_id
  AND mc.movie_id = ci.movie_id
  AND mc.movie_id = mi.movie_id
  AND mi.movie_id = ci.movie_id
  AND cn.id = mc.company_id
  AND it.id = mi.info_type_id
  AND n.id = ci.person_id
  AND rt.id = ci.role_id
  AND n.id = an.person_id
 
  AND chn.id = ci.person_role_id;",Not Equivalent,Condition_Modification,NO,NO,Condition_Modification
"SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM company_type AS ct,
     info_type AS it,
     movie_companies AS mc,
     movie_info_idx AS mi_idx,
     title AS t
WHERE ct.kind = 'production companies'
  AND it.info = 'top 250 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND (mc.note LIKE '%(co-production)%'
       OR mc.note LIKE '%(presents)%')
  AND ct.id = mc.company_type_id
  AND t.id = mc.movie_id
  AND t.id = mi_idx.movie_id
  AND mc.movie_id = mi_idx.movie_id
  AND it.id = mi_idx.info_type_id;","SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM movie_companies AS mc
JOIN title AS t ON mc.movie_id = t.id
WHERE mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND (mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(presents)%')
  AND EXISTS (
      SELECT 1
      FROM company_type AS ct
      WHERE ct.kind = 'production companies' AND ct.id = mc.company_type_id
  )
  AND EXISTS (
      SELECT 1
      FROM movie_info_idx AS mi_idx
      JOIN info_type AS it ON mi_idx.info_type_id = it.id
      WHERE it.info = 'top 250 rank' AND mi_idx.movie_id = mc.movie_id
  );",Equivalent,Subquery_Conditions,YES,YES,Join_Structure
"SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM company_type AS ct,
     info_type AS it,
     movie_companies AS mc,
     movie_info_idx AS mi_idx,
     title AS t
WHERE ct.kind = 'production companies'
  AND it.info = 'bottom 10 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND t.production_year BETWEEN 2005 AND 2010
  AND ct.id = mc.company_type_id
  AND t.id = mc.movie_id
  AND t.id = mi_idx.movie_id
  AND mc.movie_id = mi_idx.movie_id
  AND it.id = mi_idx.info_type_id;","WITH MovieCompaniesFiltered AS (
    SELECT 
        mc.movie_id,
        mc.note AS production_note
    FROM 
        movie_companies mc
    JOIN 
        company_type ct ON ct.id = mc.company_type_id
    WHERE 
        ct.kind = 'production companies' 
        AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
),
MovieInfoFiltered AS (
    SELECT 
        mi_idx.movie_id
    FROM 
        movie_info_idx mi_idx
    JOIN 
        info_type it ON it.id = mi_idx.info_type_id
    WHERE 
        it.info = 'bottom 10 rank'
),
MovieDetails AS (
    SELECT 
        t.id AS movie_id,
        t.title AS movie_title,
        t.production_year AS movie_year
    FROM 
        title t
    WHERE 
        t.production_year BETWEEN 2005 AND 2010
),
FilteredMovies AS (
    SELECT 
        mcf.production_note,
        md.movie_title,
        md.movie_year
    FROM 
        MovieDetails md
    JOIN 
        MovieCompaniesFiltered mcf ON md.movie_id = mcf.movie_id
    JOIN 
        MovieInfoFiltered mif ON md.movie_id = mif.movie_id
)
SELECT 
    MIN(production_note) AS production_note,
    MIN(movie_title) AS movie_title,
    MIN(movie_year) AS movie_year
FROM 
    FilteredMovies;",Equivalent,CTEs,YES,YES,CTEs
"SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM company_type AS ct,
     info_type AS it,
     movie_companies AS mc,
     movie_info_idx AS mi_idx,
     title AS t
WHERE ct.kind = 'production companies'
  AND it.info = 'top 250 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND (mc.note LIKE '%(co-production)%')
  AND t.production_year >2010
  AND ct.id = mc.company_type_id
  AND t.id = mc.movie_id
  AND t.id = mi_idx.movie_id
  AND mc.movie_id = mi_idx.movie_id
  AND it.id = mi_idx.info_type_id;","SELECT 
    MIN(mc.note) AS production_note,
    MIN(t.title) AS movie_title,
    MIN(t.production_year) AS movie_year
FROM title AS t
JOIN movie_companies AS mc ON t.id = mc.movie_id
JOIN company_type AS ct ON mc.company_type_id = ct.id
JOIN movie_info_idx AS mi_idx ON t.id = mi_idx.movie_id AND mc.movie_id = mi_idx.movie_id
JOIN info_type AS it ON mi_idx.info_type_id = it.id
WHERE ct.kind = 'production companies'
  AND it.info = 'top 250 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND mc.note LIKE '%(co-production)%'
  AND t.production_year > 2010;",Equivalent,Join_Style,YES,YES,Join_Style
"SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM company_type AS ct,
     info_type AS it,
     movie_companies AS mc,
     movie_info_idx AS mi_idx,
     title AS t
WHERE ct.kind = 'production companies'
  AND it.info = 'bottom 10 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND t.production_year >2000
  AND ct.id = mc.company_type_id
  AND t.id = mc.movie_id
  AND t.id = mi_idx.movie_id
  AND mc.movie_id = mi_idx.movie_id
  AND it.id = mi_idx.info_type_id;","SELECT MIN(mc.note) AS production_note,
       MIN(t.title) AS movie_title,
       MIN(t.production_year) AS movie_year
FROM company_type AS ct,
     info_type AS it,
     moviecompanies AS mc,
     movie_info_idx AS mi_idx,
     title AS t
WHERE ct.kind = 'production companies'
  AND it.info = 'bottom 10 rank'
  AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'
  AND t.production_year >2000
  AND ct.id = mc.company_type_id
  AND t.id = mc.movie_id
  AND t.id = mi_idx.movie_id
  AND mc.movie_id = mi_idx.movie_id
  AND it.id = mi_idx.info_type_id;",Not Equivalent ,Table_Join_Modification,NO,YES,Alias_Change
"SELECT MIN(t.title) AS complete_downey_ironman_movie
FROM complete_cast AS cc,
     comp_cast_type AS cct1,
     comp_cast_type AS cct2,
     char_name AS chn,
     cast_info AS ci,
     keyword AS k,
     kind_type AS kt,
     movie_keyword AS mk,
     name AS n,
     title AS t
WHERE cct1.kind = 'cast'
  AND cct2.kind LIKE '%complete%'
  AND chn.name NOT LIKE '%Sherlock%'
  AND (chn.name LIKE '%Tony%Stark%'
       OR chn.name LIKE '%Iron%Man%')
  AND k.keyword IN ('superhero',
                    'sequel',
                    'second-part',
                    'marvel-comics',
                    'based-on-comic',
                    'tv-special',
                    'fight',
                    'violence')
  AND kt.kind = 'movie'
  AND t.production_year > 1950
  AND kt.id = t.kind_id
  AND t.id = mk.movie_id
  AND t.id = ci.movie_id
  AND t.id = cc.movie_id
  AND mk.movie_id = ci.movie_id
  AND mk.movie_id = cc.movie_id
  AND ci.movie_id = cc.movie_id
  AND chn.id = ci.person_role_id
  AND n.id = ci.person_id
  AND k.id = mk.keyword_id
  AND cct1.id = cc.subject_id
  AND cct2.id = cc.status_id;","SELECT MIN(t.title) AS complete_downey_ironman_movie
FROM (
    SELECT t.title, t.id
    FROM title t
    JOIN kind_type kt ON t.kind_id = kt.id
    WHERE kt.kind = 'movie' AND t.production_year > 1950
) AS t
JOIN (
    SELECT movie_id
    FROM movie_keyword mk
    JOIN keyword k ON mk.keyword_id = k.id
    WHERE k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')
) AS mk ON t.id = mk.movie_id
JOIN (
    SELECT ci.movie_id, ci.person_id, ci.person_role_id
    FROM cast_info ci
    JOIN char_name chn ON ci.person_role_id = chn.id
    WHERE chn.name NOT LIKE '%Sherlock%' AND (chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%Iron%Man%')
) AS ci ON t.id = ci.movie_id
JOIN (
    SELECT movie_id
    FROM complete_cast cc
    JOIN comp_cast_type cct1 ON cc.subject_id = cct1.id AND cct1.kind = 'cast'
    JOIN comp_cast_type cct2 ON cc.status_id = cct2.id AND cct2.kind LIKE '%complete%'
) AS cc ON t.id = cc.movie_id
JOIN name n ON ci.person_id = n.id AND n.name LIKE '%Downey%Robert%'
WHERE t.id = ci.movie_id AND t.id = mk.movie_id AND t.id = cc.movie_id;",Equivalent,Join_Structure,YES,NO,Condition_Modification
"SELECT MIN(t.title) AS complete_downey_ironman_movie
FROM complete_cast AS cc,
     comp_cast_type AS cct1,
     comp_cast_type AS cct2,
     char_name AS chn,
     cast_info AS ci,
     keyword AS k,
     kind_type AS kt,
     movie_keyword AS mk,
     name AS n,
     title AS t
WHERE cct1.kind = 'cast'
  AND cct2.kind LIKE '%complete%'
  AND chn.name NOT LIKE '%Sherlock%'
  AND (chn.name LIKE '%Tony%Stark%'
       OR chn.name LIKE '%Iron%Man%')
  AND k.keyword IN ('superhero',
                    'sequel',
                    'second-part',
                    'marvel-comics',
                    'based-on-comic',
                    'tv-special',
                    'fight',
                    'violence')
  AND kt.kind = 'movie'
  AND n.name LIKE '%Downey%Robert%'
  AND t.production_year > 2000
  AND kt.id = t.kind_id
  AND t.id = mk.movie_id
  AND t.id = ci.movie_id
  AND t.id = cc.movie_id
  AND mk.movie_id = ci.movie_id
  AND mk.movie_id = cc.movie_id
  AND ci.movie_id = cc.movie_id
  AND chn.id = ci.person_role_id
  AND n.id = ci.person_id
  AND k.id = mk.keyword_id
  AND cct1.id = cc.subject_id
  AND cct2.id = cc.status_id;","SELECT 
    MIN(CASE 
        WHEN cct1.kind = 'cast' AND cct2.kind LIKE '%complete%' 
             AND chn.name NOT LIKE '%Sherlock%' 
             AND (chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%Iron%Man%') 
             AND k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 
                               'based-on-comic', 'tv-special', 'fight', 'violence') 
             AND kt.kind = 'movie' 
             AND n.name LIKE '%Downey%Robert%' 
             AND t.production_year > 2000 THEN t.title 
        ELSE NULL 
    END) AS complete_downey_ironman_movie
FROM 
    complete_cast AS cc,
    comp_cast_type AS cct1,
    comp_cast_type AS cct2,
    char_name AS chn,
    cast_info AS ci,
    keyword AS k,
    kind_type AS kt,
    movie_keyword AS mk,
    name AS n,
    title AS t
WHERE 
    kt.id = t.kind_id
    AND t.id = mk.movie_id
    AND t.id = ci.movie_id
    AND t.id = cc.movie_id
    AND mk.movie_id = ci.movie_id
    AND mk.movie_id = cc.movie_id
    AND ci.movie_id = cc.movie_id
    AND chn.id = ci.person_role_id
    AND n.id = ci.person_id
    AND k.id = mk.keyword_id
    AND cct1.id = cc.subject_id
    AND cct2.id = cc.status_id;",Equivalent,Case_Statement,YES,YES,Case_Statement
"SELECT MIN(n.name) AS cast_member,
       MIN(t.title) AS complete_dynamic_hero_movie
FROM complete_cast AS cc,
     comp_cast_type AS cct1,
     comp_cast_type AS cct2,
     char_name AS chn,
     cast_info AS ci,
     keyword AS k,
     kind_type AS kt,
     movie_keyword AS mk,
     name AS n,
     title AS t
WHERE cct1.kind = 'cast'
  AND cct2.kind LIKE '%complete%'
  AND chn.name IS NOT NULL
  AND (chn.name LIKE '%man%'
       OR chn.name LIKE '%Man%')
  AND k.keyword IN ('superhero',
                    'marvel-comics',
                    'based-on-comic',
                    'tv-special',
                    'fight',
                    'violence',
                    'magnet',
                    'web',
                    'claw',
                    'laser')
  AND kt.kind = 'movie'
  AND t.production_year > 2000
  AND kt.id = t.kind_id
  AND t.id = mk.movie_id
  AND t.id = ci.movie_id
  AND t.id = cc.movie_id
  AND mk.movie_id = ci.movie_id
  AND mk.movie_id = cc.movie_id
  AND ci.movie_id = cc.movie_id
  AND chn.id = ci.person_role_id
  AND n.id = ci.person_id
  AND k.id = mk.keyword_id
  AND cct1.id = cc.subject_id
  AND cct2.id = cc.status_id;","SELECT MIN(n.name) AS cast_member,
       MIN(t.title) AS complete_dynamic_hero_movie
FROM title AS t
JOIN kind_type AS kt ON kt.id = t.kind_id AND kt.kind = 'movie'
JOIN movie_keyword AS mk ON t.id = mk.movie_id
JOIN keyword AS k ON mk.keyword_id = k.id AND k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')
WHERE t.production_year > 2000
  AND EXISTS (
      SELECT 1
      FROM cast_info AS ci
      JOIN char_name AS chn ON ci.person_role_id = chn.id AND (chn.name LIKE '%man%' OR chn.name LIKE '%Man%') AND chn.name IS NOT NULL
      JOIN name AS n ON ci.person_id = n.id
      WHERE ci.movie_id = t.id
  )
  AND EXISTS (
      SELECT 1
      FROM complete_cast AS cc
      JOIN comp_cast_type AS cct1 ON cc.subject_id = cct1.id AND cct1.kind = 'cast'
      JOIN comp_cast_type AS cct2 ON cc.status_id = cct2.id AND cct2.kind LIKE '%complete%'
      WHERE cc.movie_id = t.id
  );",Equivalent,Subquery_Conditions,YES,YES,Join_Structure
"SELECT MIN(cn.name) AS company_name,
       MIN(lt.link) AS link_type,
       MIN(t.title) AS western_follow_up
FROM company_name AS cn,
     company_type AS ct,
     keyword AS k,
     link_type AS lt,
     movie_companies AS mc,
     movie_info AS mi,
     movie_keyword AS mk,
     movie_link AS ml,
     title AS t
WHERE cn.country_code !='[pl]'
  AND (cn.name LIKE '%Film%'
       OR cn.name LIKE '%Warner%')
  AND ct.kind ='production companies'
  AND k.keyword ='sequel'
  AND lt.link LIKE '%follow%'
  AND mc.note IS NULL
  AND mi.info IN ('Sweden',
                  'Norway',
                  'Germany',
                  'Denmark',
                  'Swedish',
                  'Denish',
                  'Norwegian',
                  'German')
  AND t.production_year BETWEEN 1950 AND 2000
  AND lt.id = ml.link_type_id
  AND ml.movie_id = t.id
  AND t.id = mk.movie_id
  AND mk.keyword_id = k.id
  AND t.id = mc.movie_id
  AND mc.company_type_id = ct.id
  AND mc.company_id = cn.id
  AND mi.movie_id = t.id
  AND ml.movie_id = mk.movie_id
  AND ml.movie_id = mc.movie_id
  AND mk.movie_id = mc.movie_id
  AND ml.movie_id = mi.movie_id
  AND mk.movie_id = mi.movie_id
  AND mc.movie_id = mi.movie_id;","SELECT MIN(cn.name) AS company_name,
       MIN(lt.link) AS link_type,
       MIN(t.title) AS western_follow_up
FROM company_name AS cn,
     company_type AS ct,
     keyword AS k,
     link_type AS lt,
     movie_companies AS mc,
     movie_info AS mi,
     movie_keyword AS mk,
     movie_link AS ml,
     title AS t
WHERE cn.country_code !='[pl]'
  AND (cn.name LIKE '%Film%'
       OR cn.name LIKE '%Warner%')
  AND ct.kind ='production companies'
  AND k.keyword ='sequel'
  AND lt.link LIKE '%follow%'
  AND mc.note IS NULL
  AND mi.info IN ('Sweden',
                  'Norway',
                  'Germany',
                  'Denmark',
                  'Swedish',
                  'Denish',
                  'Norwegian',
                  'German')
  AND t.production_year BETWEEN 1950 AND 2000
  AND lt.id = ml.link_type_id
  AND ml.movie_id = t.id
  AND t.id = mk.movie_id
  AND mk.keyword_id = k.id
  AND t.id = mc.movie_id
  AND ml.movie_id = mc.movie_id
  AND mk.movie_id = mc.movie_id
  AND ml.movie_id = mi.movie_id
  AND mk.movie_id = mi.movie_id   AND mc.company_type_id = ct.id
  AND mc.company_id = cn.id
  AND mi.movie_id = t.id
  AND ml.movie_id = mk.movie_id
  AND mc.movie_id = mi.movie_id;",Equivalent,Condition_Arrangement,YES,YES,Condition_Arrangement
"SELECT MIN(cn.name) AS company_name,
       MIN(lt.link) AS link_type,
       MIN(t.title) AS german_follow_up
FROM company_name AS cn,
     company_type AS ct,
     keyword AS k,
     link_type AS lt,
     movie_companies AS mc,
     movie_info AS mi,
     movie_keyword AS mk,
     movie_link AS ml,
     title AS t
WHERE cn.country_code !='[pl]'
  AND (cn.name LIKE '%Film%'
       OR cn.name LIKE '%Warner%')
  AND ct.kind ='production companies'
  AND k.keyword ='sequel'
  AND lt.link LIKE '%follow%'
  AND mc.note IS NULL
  AND mi.info IN ('Germany',
                  'German')
  AND t.production_year BETWEEN 2000 AND 2010
  AND lt.id = ml.link_type_id
  AND ml.movie_id = t.id
  AND t.id = mk.movie_id
  AND mk.keyword_id = k.id
  AND t.id = mc.movie_id
  AND mc.company_type_id = ct.id
  AND mc.company_id = cn.id
  AND mi.movie_id = t.id
  AND ml.movie_id = mk.movie_id
  AND ml.movie_id = mc.movie_id
  AND mk.movie_id = mc.movie_id
  AND ml.movie_id = mi.movie_id
  AND mk.movie_id = mi.movie_id
  AND mc.movie_id = mi.movie_id;","WITH CompanyDetails AS (
    SELECT 
        mc.movie_id,
        cn.name AS company_name
    FROM 
        company_name cn
    JOIN 
        movie_companies mc ON mc.company_id = cn.id
    JOIN 
        company_type ct ON ct.id = mc.company_type_id
    WHERE 
        cn.country_code != '[pl]'
        AND (cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%')
        AND ct.kind = 'production companies'
        AND mc.note IS NULL
),
MovieLinks AS (
    SELECT 
        ml.movie_id,
        lt.link AS link_type
    FROM 
        movie_link ml
    JOIN 
        link_type lt ON lt.id = ml.link_type_id
    WHERE 
        lt.link LIKE '%follow%'
),
MovieKeywords AS (
    SELECT 
        mk.movie_id
    FROM 
        movie_keyword mk
    JOIN 
        keyword k ON k.id = mk.keyword_id
    WHERE 
        k.keyword = 'sequel'
),
MovieInfoFiltered AS (
    SELECT 
        mi.movie_id
    FROM 
        movie_info mi
    WHERE 
        mi.info IN ('Germany', 'German')
),
MovieDetails AS (
    SELECT 
        t.id AS movie_id,
        t.title AS german_follow_up
    FROM 
        title t
    WHERE 
        t.production_year BETWEEN 2000 AND 2010
),
FilteredMovies AS (
    SELECT 
        cd.company_name,
        ml.link_type,
        md.german_follow_up
    FROM 
        MovieDetails md
    JOIN 
        CompanyDetails cd ON md.movie_id = cd.movie_id
    JOIN 
        MovieLinks ml ON md.movie_id = ml.movie_id
    JOIN 
        MovieKeywords mk ON md.movie_id = mk.movie_id
    JOIN 
        MovieInfoFiltered mif ON md.movie_id = mif.movie_id
)
SELECT 
    MIN(company_name) AS company_name,
    MIN(link_type) AS link_type,
    MIN(german_follow_up) AS german_follow_up
FROM 
    FilteredMovies;",Equivalent,CTEs,YES,YES,CTEs
"SELECT MIN(cn.name) AS company_name,
       MIN(lt.link) AS link_type,
       MIN(t.title) AS western_follow_up
FROM company_name AS cn,
     company_type AS ct,
     keyword AS k,
     link_type AS lt,
     movie_companies AS mc,
     movie_info AS mi,
     movie_keyword AS mk,
     movie_link AS ml,
     title AS t
WHERE cn.country_code !='[pl]'
  AND (cn.name LIKE '%Film%'
       OR cn.name LIKE '%Warner%')
  AND ct.kind ='production companies'
  AND k.keyword ='sequel'
  AND lt.link LIKE '%follow%'
  AND mc.note IS NULL
  AND mi.info IN ('Sweden',
                  'Norway',
                  'Germany',
                  'Denmark',
                  'Swedish',
                  'Denish',
                  'Norwegian',
                  'German',
                  'English')
  AND t.production_year BETWEEN 1950 AND 2010
  AND lt.id = ml.link_type_id
  AND ml.movie_id = t.id
  AND t.id = mk.movie_id
  AND mk.keyword_id = k.id
  AND t.id = mc.movie_id
  AND mc.company_type_id = ct.id
  AND mc.company_id = cn.id
  AND mi.movie_id = t.id
  AND ml.movie_id = mk.movie_id
  AND ml.movie_id = mc.movie_id
  AND mk.movie_id = mc.movie_id
  AND ml.movie_id = mi.movie_id
  AND mk.movie_id = mi.movie_id
  AND mc.movie_id = mi.movie_id;","SELECT 
    MIN(cn.name) AS company_name,
    MIN(lt.link) AS link_type,
    MIN(t.title) AS western_follow_up
FROM (
    SELECT t.id, t.title
    FROM title AS t
    JOIN movie_companies AS mc ON t.id = mc.movie_id
    JOIN company_type AS ct ON mc.company_type_id = ct.id
    WHERE ct.kind = 'production companies'
      AND t.production_year BETWEEN 1950 AND 2010
) AS ValidMovies
JOIN movie_companies AS mc ON ValidMovies.id = mc.movie_id
JOIN company_name AS cn ON mc.company_id = cn.id
AND cn.country_code !='[pl]'
AND (cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%')
AND mc.note IS NULL
JOIN movie_link AS ml ON ValidMovies.id = ml.movie_id
JOIN link_type AS lt ON ml.link_type_id = lt.id
AND lt.link LIKE '%follow%'
JOIN movie_info AS mi ON ValidMovies.id = mi.movie_id
AND mi.info IN ('Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'English')
JOIN movie_keyword AS mk ON ValidMovies.id = mk.movie_id
JOIN keyword AS k ON mk.keyword_id = k.id
AND k.keyword = 'sequel'
WHERE mi.movie_id = mc.movie_id
AND ml.movie_id = mk.movie_id
AND ml.movie_id = mc.movie_id
AND mk.movie_id = mc.movie_id
AND ml.movie_id = mi.movie_id
AND mk.movie_id = mi.movie_id
AND mc.movie_id = mi.movie_id;",Equivalent,Join_Structure,YES,YES,Join_Structure
