SQL_Statement,Equivalent_Queries,Equivalent or not,Modification_Method,Original,gpt4,gpt4_type,gpt3.5,gpt3.5_type,llama3,llama3_type,mistralai,mistralai_type,gemini,gemini_type
"SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC","SELECT InterproEntry, 
       SUM(CASE WHEN InterproEntry IS NOT NULL THEN 1 ELSE 0 END) AS InterproIdHits 
FROM [826].[Ox_Fracy_uniqueIPRsperprotein] 
GROUP BY InterproEntry 
ORDER BY InterproIdHits DESC;",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement,YES,Case_Statement
"SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))","SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[methylation_ratio_CG_gene] methRatio, [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc  WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))",Equivalent,Join_Order,YES,YES,Join_Order,YES,Join_Nested,YES,Join_Nested,NO,Join_Nested,YES,Join_Nested
"SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'","SELECT 
    *
FROM 
    [1052].[Pile Point Currents 00-11.txt] maxebb
JOIN 
    [1052].[Pile Point Currents 00-11.txt] slackebb 
    ON maxebb.date = slackebb.date
WHERE 
    maxebb.current_intensity = 'Max Ebb' 
    AND slackebb.current_intensity LIKE '%Slack%'",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio > 0.4","SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio >= 0.4",Not Equivalent,Operators,NO,NO,Operators,NO,Operators,NO,Operators,NO,Operators,NO,Operators
"SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) where t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '","SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 eft join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) where t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '",Not Equivalent,Change_Join_Condition,NO,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition,NO,Change_Join_Condition
"SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE  S.timestamp = T.timestamp","SELECT 
    S.LAT, 
    S.LON, 
    S.[file], 
    T.[OCEAN.TEMP], 
    CASE 
        WHEN T.SALINITY IS NOT NULL THEN T.SALINITY 
        ELSE NULL 
    END AS SALINITY, 
    S.day, 
    S.[BULK.RED]
FROM 
    [1057].[Tokyo4_sds_timestamp] as S
JOIN 
    [1057].[Tokyo4_sds_TS] as T 
    ON S.timestamp = T.timestamp;",Equivalent,Case_Statement,YES,YES,Case_Statement,YES,Explicit_Implicit_Joins,YES,Case_Statement,YES,Case_Statement,YES,Explicit_Implicit_Joins
"SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name AND  logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)","SELECT  * FROM    [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup, [826].[PmTE_ALL-DE.txt] DE  WHERE  supergroup.Consensus = DE.name AND  logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)",Equivalent,Join_Order,YES,YES,Join_Order,YES,Join_Order,YES,Join_Order,YES,Join_Order,YES,Join_Order
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","select s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,YES,Join_Order
"SELECT  newid, rand(hashbytes('shaa',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]","SELECT  newid, rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]",Not Equivalent,Value_Change,NO,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Value_Change,NO,Join_Order
"SELECT  [Saito_Id],  [Identified Proteins],  [Accession],  [BLAST_NR ANNOTATION],  [BLAST NR OR GANISM],  [BLAST Microbial P col1],  [BLAST Microbial P col2],  [Molecular Weight (kDa)] ,  3 AS Sample ,  'P8' AS Station ,  70 AS 'Depth (m)' ,  [(G3)-S8-70m] AS [Spectral Count] FROM  [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT 
    [Saito_Id],
    [Identified Proteins],
    [Accession],
    [BLAST_NR ANNOTATION],
    [BLAST NR ORGANISM],
    [BLAST Microbial P col1],
    [BLAST Microbial P col2],
    [Molecular Weight (kDa)],
    Sample,
    Station,
    [Depth (m)],
    [Spectral Count]
FROM (
    SELECT 
        [Saito_Id],
        [Identified Proteins],
        [Accession],
        [BLAST_NR ANNOTATION],
        [BLAST NR ORGANISM],
        [BLAST Microbial P col1],
        [BLAST Microbial P col2],
        [Molecular Weight (kDa)],
        3 AS Sample,
        'P8' AS Station,
        70 AS 'Depth (m)',
        [(G3)-S8-70m] AS [Spectral Count]
    FROM [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]
) AS SubQuery",Equivalent,Condition_Nested,YES,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested,YES,Condition_Nested
"SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv] GROUP BY  Source","SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv] GROUP BY  Source,Name",Not Equivalent,Group_by_Criteria,NO,NO,Group_by_Criteria,NO,Group_by_Criteria,NO,Group_by_Criteria,NO,Group_by_Criteria,NO,Group_by_Criteria
"SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title not like '%APL%' AND  salary < 120800 --ORDER BY  salary desc","SELECT 
    MAX(x.salary) AS max_salary, 
    MIN(x.salary) AS min_salary, 
    AVG(x.salary) AS avg_salary, 
    COUNT(*) AS total_count
FROM 
    [1314howe].[uw_salaries_2011.txt] x
WHERE 
    x.[Job Title] = 'ASSISTANT PROFESSOR' AND 
    x.[2010 Gross Earnings] < 120800",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,NO,Simplification,YES,Simplification
SELECT  CAST(score AS FLOAT) AS scoreNum FROM  [823].[CGbigill5x_asgff],"WITH ScoreCTE AS (
    SELECT score
    FROM [823].[CGbigill5x_asgff]
)
SELECT 
    CAST(score AS FLOAT) AS scoreNum
FROM 
    ScoreCTE;",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT  cast(date + ' ' + time as datetime) as timestamp,  location,  event_knots,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ORDER BY  cast(date + ' ' + time as datetime)","SELECT  cast(date + ' ' + time as datetime) as timestamp, event_knots,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ORDER BY  cast(date + ' ' + time as datetime)",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column
"SELECT  cast( datepart(hour,  binid) as varchar(2)) + ':00' as hour,  binid as timestamp,  salinity as salinity,  fluorescence,  transmission,  [(O2/Ar)sat] as oxygen_sat,  pop as seaflow_pop,  conc as seaflow_conc,  chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM  [1314howe].[SDS and Seaflow Joined with Biological productivity] ORDER BY  binid asc","SELECT  cast( datepart(hour,  binid) as varchar(2)) + ':00' as hour,  [(O2/Ar)sat] as oxygen_sat,  conc as seaflow_conc,  binid as timestamp,   fluorescence,  transmission,chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM  [1314howe].[SDS and Seaflow Joined with Biological productivity] ORDER BY  binid asc",Not Equivalent,Adding_Removing_Select_Column,NO,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column,YES,Join_Order,NO,Adding_Removing_Select_Column,NO,Adding_Removing_Select_Column
"select distinct a.fullname,  p.id as pubID from field f,  author a,  publication p where f.p='author' and f.k=p.id and f.v=a.fullname","SELECT DISTINCT 
    a.fullname, 
    p.id AS pubID
FROM 
    field f
INNER JOIN 
    publication p 
    ON f.k = p.id
INNER JOIN 
    author a 
    ON f.v = a.fullname
WHERE 
    f.p = 'author';",Equivalent,Explicit_Implicit_Joins,YES,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins,YES,Explicit_Implicit_Joins
"SELECT  Count (*) From ( SELECT * FROM  [1123].[BiGo_mito_cleam] where context like '__CT_' --modified respectively for CA,  CT,  CC and CT_Count >= 5 and ratio > 0) --modified respectively for zero methylation (= 0.000 ) betty","WITH FilteredData AS (
    -- The original inner query becomes the outer query in the CTE.
    SELECT *
    FROM [1123].[BiGo_mito_cleam]
    WHERE context LIKE '__CT_'
      AND CT_Count >= 5
      AND ratio > 0
)
SELECT COUNT(*)
FROM (
    -- The count operation becomes the inner query using the CTE.
    SELECT *
    FROM FilteredData
) AS InnerQuery",Equivalent,CTEs,YES,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs,YES,CTEs
"SELECT  x % 103 AS bucket,  MAX(sumdegree) AS edges FROM  [354].[twitter_rv.6200000.sumdegree] GROUP BY  (x % 103) ORDER BY  edges desc","SELECT  x % 103 AS bucket,  MAX(sumdegree) AS edges FROM  [354].[twitter_rv.6200000.sumdegree] GROUP BY  (x % 103) ORDER BY  edges asc",Not Equivalent,Change_Sorting_Limiting,NO,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting,NO,Change_Sorting_Limiting
"WITH  data (species,  latitude,  longitude) AS (SELECT  * from [690].[All3col]),  bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  * FROM  bounds","SELECT 
    MIN(latitude) AS minLat, 
    MIN(longitude) AS minLong, 
    MAX(latitude) AS maxLat, 
    MAX(longitude) AS maxLong
FROM 
    [690].[All3col];",Equivalent,Simplification,YES,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification,YES,Simplification
