SQL_Statement,Modified_Statements,Syntax_Error_sqlshare,Is there any missing word,Missing_type_sqlshare,Missing_word_sqlshare,Missing Word(Generalization),Missing_position_sqlshare
"SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE  S.timestamp = T.timestamp","SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE   = T.timestamp",YES,YES,Missing Column,S.timestamp,Column Name,17
"SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name AND  logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)","SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name   logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)",YES,YES,Missing Keyword,"AND  ",AND,13
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.annotation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s  (s.uniprot = ec.accession)",YES,YES,Missing Keyword,"on ",ON,24
"SELECT  newid, rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]","SELECT  , rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]",YES,YES,Missing Column,newid,Column Name,2
"SELECT  [Saito_Id],  [Identified Proteins],  [Accession],  [BLAST_NR ANNOTATION],  [BLAST NR OR GANISM],  [BLAST Microbial P col1],  [BLAST Microbial P col2],  [Molecular Weight (kDa)] ,  3 AS Sample ,  'P8' AS Station ,  70 AS 'Depth (m)' ,  [(G3)-S8-70m] AS [Spectral Count] FROM  [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT  [Saito_Id],  [Identified Proteins],  [Accession],  [BLAST_NR ANNOTATION],  [BLAST NR OR GANISM],  [BLAST Microbial P col1],  [BLAST Microbial P col2],  [Molecular Weight (kDa)] ,  3 AS Sample ,  'P8' AS Station ,  70 AS 'Depth (m)' ,  [(G3)-S8-70m] AS [Spectral Count] FROM  [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]",NO,NO,N/A,N/A,N/A,0
"SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv] GROUP BY  Source","SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv]  BY  Source",YES,YES,Missing Keyword,GROUP,GROUP,10
"SELECT *, max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title not like '%APL%' AND  salary < 120800 --ORDER BY  salary desc","SELECT *, max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title not like '%APL%' AND  salary  120800 --ORDER BY  salary desc",YES,YES,Missing Comparison,>,Comparison Operator,43
SELECT  CAST(score AS FLOAT) AS scoreNum FROM  [823].[CGbigill5x_asgff],SELECT  CAST(score AS FLOAT) AS  FROM  [823].[CGbigill5x_asgff],YES,YES,Missing Column,scoreNum,Column Name,6
"SELECT  cast(date + ' ' + time as datetime) as timestamp,  location,  event_knots,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ORDER BY  cast(date + ' ' + time as datetime)","SELECT  cast(date + ' ' + time as datetime) as timestamp,  location,  event_knots,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ORDER BY  cast(date + ' ' + time as datetime)",NO,NO,N/A,N/A,N/A,0
"SELECT  cast( datepart(hour,  binid) as varchar(2)) + ':00' as hour,  binid as timestamp,  salinity as salinity,  fluorescence,  transmission,  [(O2/Ar)sat] as oxygen_sat,  pop as seaflow_pop,  conc as seaflow_conc,  chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM  [1314howe].[SDS and Seaflow Joined with Biological productivity] ORDER BY  binid asc","SELECT  cast((hour,  binid) as varchar(2)) + ':00' as hour,  binid as timestamp,  salinity as salinity,  fluorescence,  transmission,  [(O2/Ar)sat] as oxygen_sat,  pop as seaflow_pop,  conc as seaflow_conc,  chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM   ORDER BY  binid asc",YES,YES,Missing Table,[1314howe].[SDS and Seaflow Joined with Biological productivity],Table Name,51
"select distinct a.fullname,  p.id as pubID from field f,  author a,  publication p where f.p='author' and f.k=p.id and f.v=a.fullname"," distinct a.fullname,  p.id as pubID from field f,  author a,  publication p where f.p='author' and f.k=p.id and f.v=a.fullname",YES,YES,Missing Keyword,SELECT,SELECT,2
"SELECT  Count (*) From ( SELECT * FROM  [1123].[BiGo_mito_cleam] where context like '__CT_' --modified respectively for CA,  CT,  CC and CT_Count >= 5 and ratio > 0) --modified respectively for zero methylation (= 0.000 ) betty","SELECT  Count (*) From ( SELECT * FROM  [1123].[BiGo_mito_cleam] where  like '__CT_' --modified respectively for CA,  CT,  CC and CT_Count >= 5 and ratio > 0) --modified respectively for zero methylation (= 0.000 ) betty",YES,YES,Missing Column,context,Column Name,11
"SELECT  x % 103 AS bucket,  SUM(sumdegree) AS edges FROM  [354].[twitter_rv.6200000.sumdegree] GROUP BY  (x % 103) ORDER BY  edges desc","SELECT  x % 103 AS bucket,  SUM(sumdegree) AS edges FROM  [354].[twitter_rv.6200000.sumdegree] GROUP BY  (x % 103)  BY  edges desc",YES,YES,Missing Keyword,ORDER,ORDER,23
"WITH  data (species,  latitude,  longitude) AS (SELECT  * from [690].[All3col]),  bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  * FROM  bounds","WITH  data (species,  latitude,  longitude) AS (SELECT  * from [690].[All3col]),  bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT   FROM  bounds",YES,YES,Missing Column,*,Column Name,8
"select category from ( SELECT  case when budget = 'Moore' then 'Moore/Sloan' when budget = 'Sloan' then 'Moore/Sloan' else budget end as budget ,  case when Description Like '%Faculty:%' and category_label = 'Salaries' then 'Faculty' when Description Like '%Faculty:%' and category_label = 'Benefits' then 'Faculty' when Description Like '%tudents%' and category_label = 'Salaries' then 'Students' when Description Like '%tudents%' and category_label = 'Benefits' then 'Students' when Description Like '%ost-doc%' and category_label = 'Benefits' then 'Postdoc' when Description Like '%ost-doc%' and category_label = 'Salaries' then 'Postdoc' when Description Like '%Pro Staff%' and category_label = 'Salaries' then 'Research Staff' when Description Like '%Pro Staff%' and category_label = 'Benefits' then 'Research Staff' when Description Like '%Admin Pro%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Admin Pro%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Benefits' then 'Admin Staff' when category_label = 'Consulting' or category_label = 'Equipment' or category_label = 'Supplies' or category_label = 'Contractual Services' or category_label='Recharge' then 'Other' else category_label end as category ,  Description ,  case when len(INV_Date) <2 then NULL when PO_Invoice = 'CR3566' then '9/1/2015' else cast(inv_date as date) end as inv_date ,  cast(case when BAR_Amt is null then Encumbered else BAR_Amt end as float) as amount ,  cd,  PO_Invoice,  Encumbered FROM  [1314howe].[ALL_Operations_Details.csv] ) x group by category","select category from ( SELECT  case when budget = 'Moore' then 'Moore/Sloan' when budget = 'Sloan' then 'Moore/Sloan' else budget end as budget ,  case when  Like '%Faculty:%' and category_label = 'Salaries' then 'Faculty' when Description Like '%Faculty:%' and category_label = 'Benefits' then 'Faculty' when Description Like '%tudents%' and category_label = 'Salaries' then 'Students' when Description Like '%tudents%' and category_label = 'Benefits' then 'Students' when Description Like '%ost-doc%' and category_label = 'Benefits' then 'Postdoc' when Description Like '%ost-doc%' and category_label = 'Salaries' then 'Postdoc' when Description Like '%Pro Staff%' and category_label = 'Salaries' then 'Research Staff' when Description Like '%Pro Staff%' and category_label = 'Benefits' then 'Research Staff' when Description Like '%Admin Pro%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Admin Pro%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Benefits' then 'Admin Staff' when category_label = 'Consulting' or category_label = 'Equipment' or category_label = 'Supplies' or category_label = 'Contractual Services' or category_label='Recharge' then 'Other' else category_label end as category ,  Description ,  case when len(INV_Date) <2 then NULL when PO_Invoice = 'CR3566' then '9/1/2015' else cast(inv_date as date) end as inv_date ,  cast(case when BAR_Amt is null then Encumbered else BAR_Amt end as float) as amount ,  cd,  PO_Invoice,  Encumbered FROM  [1314howe].[ALL_Operations_Details.csv] ) x group by category",YES,YES,Missing Column,Description,Column Name,27
SELECT  * FROM  [TEST prot pep IDs] WHERE  [peptide sequence] IN (SELECT  [peptide sequence] FROM  [412].[TEST prot pep IDs] GROUP BY  [peptide sequence] HAVING COUNT (*) < 2),SELECT  * FROM  [TEST prot pep IDs]   [peptide sequence] IN (SELECT  [peptide sequence] FROM  [412].[TEST prot pep IDs] GROUP BY  [peptide sequence] HAVING COUNT (*) < 2),YES,YES,Missing Keyword,WHERE,WHERE,8
"SELECT  distinct n.isolate_id,  s.subject_ids,  n.sub_bag_no,  n.sub_q,  n.date,  n.date_trashed,  n.cp_q,  n.cp_bag_no,  n.date_2,  n.date_trashed_2,  n.to_be_regrown,  n.arc1327e_q,  a.concat_arc1327e_boxes,  l.concat_locations,  ad.concat_arc1327e_dates,  n.notes FROM  [table_nearly_winnowed_subqry.csv] n full outer join [table_isol_concat_subj_id.csv] s on (s.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_box.csv] a on (a.isolate_id = n.isolate_id) full outer join [table_isol_concat_locn.csv] l on (l.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_date.csv] ad on (ad.isolate_id = n.isolate_id)","SELECT  distinct n.isolate_id,  s.subject_ids,  n.sub_bag_no,  n.sub_q,  n.date,  n.date_trashed,  n.cp_q,  n.cp_bag_no,  n.date_2,  ,  n.to_be_regrown,  n.arc1327e_q,  a.concat_arc1327e_boxes,  l.concat_locations,  ad.concat_arc1327e_dates,  n.notes FROM  [table_nearly_winnowed_subqry.csv] n full outer join [table_isol_concat_subj_id.csv] s on (s.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_box.csv] a on (a.isolate_id = n.isolate_id) full outer join [table_isol_concat_locn.csv] l on (l.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_date.csv] ad on (ad.isolate_id = n.isolate_id)",YES,YES,Missing Column,n.date_trashed_2,Column Name,12
"SELECT  ind from (SELECT  res_type_sh,  pdb_id,  res_index AS ind FROM  [1267].[h2_w_2.csv]) AS R1","SELECT  ind from (SELECT  res_type_sh,  pdb_id,  res_index AS ind FROM  [1267].[h2_w_2.csv])  R1",YES,YES,Missing Keyword,AS,AS,16
SELECT  * FROM  [521].[FirstLinePoetTitle2.csv] WHERE  Title LIKE 'the%',"SELECT  * FROM  [521].[FirstLinePoetTitle2.csv] WHERE  Title LIKE ",YES,YES,Missing Value,the%',Value,8
select * from 1385_queries where sql_code not like '%table_%'  and sql_code like '%AND %'  and sql_code not like '%JOIN %' --where is_public = 0,select * from 1385_queries where sql_code not like '%table_%'  sql_code like '%AND %'  and  sql_code not like '%JOIN %' --where is_public = 0,YES,YES,Missing Keyword,and,AND,10
Select count(*) from ( SELECT * FROM  [1123].[BiGO_betty_plain_methratio_v1.txt] Where CT_count >=5 ) pls,Select count(*) from (  * FROM  [1123].[BiGO_betty_plain_methratio_v1.txt] Where CT_count >=5 ) pls,YES,YES,Missing Keyword,SELECT,SELECT,5
