SQL Statement,Modified_Statement,Original,Error_Category
"SELECT CGI_ID, GOslim_bin FROM  [1123].[Cgigas-DEGlist-sql]deg left join [1123].[qDOD_Cgigas_GOslim_DISTINCT]sl on deg.baseMean=sl.CGI_ID","SELECT deg.CGI_ID, sl.GOslim_bin 
FROM [1123].[Cgigas-DEGlist-sql].deg AS deg
LEFT JOIN [1123].[qDOD_Cgigas_GOslim_DISTINCT].sl AS sl 
ON deg.CGI_ID = (SELECT CGI_ID FROM [1123].[qDOD_Cgigas_GOslim_DISTINCT] WHERE GOslim_bin LIKE '%metabolism%');",YES,type-mismatch-nested
"SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC","SELECT  InterproEntry,  count(*) InterproIdHits  FROM  [826].[Ox_Fracy_uniqueIPRsperprotein] group by InterproEntry order by InterproIdHits DESC",NO,NO Error
"SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))","SELECT  geneDesc.* ,  methRatio.MethRatio FROM  [354].[TJGR_Gene_SPID_evalue_Description.txt] geneDesc ,  [354].[methylation_ratio_CG_gene] methRatio WHERE  geneDesc.Column1 = SUBSTRING(methRatio.GroupID,  CHARINDEX('CGI',  methRatio.GroupID),  LEN(methRatio.GroupID))",NO,NO Error
"SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  maxebb.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'","SELECT  * FROM  [1052].[Pile Point Currents 00-11.txt] maxebb ,  [1052].[Pile Point Currents 00-11.txt] slackebb WHERE  maxebb.date = slackebb.date AND  abc.current_intensity = 'Max Ebb' AND  slackebb.current_intensity like '%Slack%'",YES,alias-undefined
"SELECT  x, y, z FROM  [1267].[table_1A17_3.csv] WHERE  res_surface_area_ratio > 0.4","SELECT x, y, z FROM [1267].[table_1A17_3.csv] WHERE res_surface_area_ratio > 'high';",YES,type-mismatch-condition
"SELECT  t1.[Isolate ID],  t2.[Isolate ID],  t1.[Arc1327e Box],  t2.[Arc1327e Box] FROM  [table_t01_30Aug.csv] t1 join [table_t02_30Aug_1.csv] t2 on (t1.[Isolate ID] = t2.[Isolate ID]) where t1.[Isolate ID] <> ' ' and t2.[Isolate ID] <> ' '","SELECT t1.[Isolate ID], t2.[Isolate ID], t1.[Arc1327e Box], t2.[Arc1327e Box]
FROM [table_t01_30Aug.csv] t1
JOIN [table_t02_30Aug_1.csv] t2 ON (t1.[Isolate ID] = t2.[Isolate ID])
WHERE t1.[Isolate ID] <> '123' AND t2.[Isolate ID] <> 456;",YES,type-mismatch-condition
"SELECT  S.LAT,  S.LON,  S.[file], T.[OCEAN.TEMP], T.SALINITY, S.day, S.[BULK.RED] FROM  [1057].[Tokyo4_sds_timestamp] as S, [1057].[Tokyo4_sds_TS] as T WHERE  S.timestamp = T.timestamp","SELECT S.LAT, 
       S.LON, 
       S.[file], 
       T.[OCEAN.TEMP], 
       T.SALINITY, 
       S.day, 
       S.[BULK.RED]
FROM [1057].[Tokyo4_sds_timestamp] AS S, 
     [1057].[Tokyo4_sds_TS] AS T 
WHERE S.timestamp = T.timestamp
HAVING COUNT(*) > 5;",YES,aggr-having
"SELECT  * FROM  [826].[PmTE_ALL-DE.txt] DE ,  [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup WHERE  supergroup.Consensus = DE.name AND  logFC_Fe < 0.5 AND  logFC_Fe > -0.5 AND  logFC_P < -1 AND  logFC_Si < -1 AND  logFC_Urea < -1 AND  (PValue_Fe < 0.05 OR  PValue_P < 0.05 OR  PValue_Si < 0.05 OR  PValue_Urea < 0.05)","SELECT  
    AVG(DE.logFC_Fe) AS Avg_logFC_Fe,  -- Using an aggregate function
    DE.*,
    supergroup.*
FROM  
    [826].[PmTE_ALL-DE.txt] DE,
    [826].[table_Psemu1FL_RT_spgp_gp_ok.txt] supergroup 
WHERE  
    supergroup.Consensus = DE.name 
    AND DE.logFC_Fe < 0.5 
    AND DE.logFC_Fe > -0.5 
    AND DE.logFC_P < -1 
    AND DE.logFC_Si < -1 
    AND DE.logFC_Urea < -1 
    AND (DE.PValue_Fe < 0.05 OR  DE.PValue_P < 0.05 OR  DE.PValue_Si < 0.05 OR  DE.PValue_Urea < 0.05)
GROUP BY DE.name;  -- Group by added, but might be insufficient or incorrect",YES,aggr-attribute
"select s.ssgcidid,  s.uniprot,  ec.""EC Numbers"",  ec.""Database"" as ec_source,  ec.enzyme_id as ec_source_id,  s.anNOtation from [Unique_EC_mapped_to_UniProt] ec join [ssgcid_uniprot.csv] s on (s.uniprot = ec.accession)","SELECT s.ssgcidid, 
       s.uniprot, 
       ec.""EC Numbers"", 
       ec.""Database"" AS ec_source, 
       ec.enzyme_id AS ec_source_id, 
       s.anNOtation 
FROM [Unique_EC_mapped_to_UniProt] ec 
JOIN [ssgcid_uniprot.csv] s ON (s.uniprot = ec.accession)
HAVING COUNT(*) > 5;",YES,aggr-having
"SELECT  newid, rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) FROM  [1314howe].[organization pairs]","SELECT  newid, rand(hashbytes('sha',  Collaborator)+ datepart(ms,  GETDATE())) AS id1 FROM  [1314howe].[organization pairs] where id2='ms'",YES,alias-undefined
"SELECT  [Saito_Id],  [Identified Proteins],  [Accession],  [BLAST_NR ANNOTATION],  [BLAST NR OR GANISM],  [BLAST Microbial P col1],  [BLAST Microbial P col2],  [Molecular Weight (kDa)] ,  3 AS Sample ,  'P8' AS Station ,  70 AS 'Depth (m)' ,  [(G3)-S8-70m] AS [Spectral Count] FROM  [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv]","SELECT [Saito_Id], [Identified Proteins], [Accession], [BLAST_NR ANNOTATION], [BLAST NR ORGANISM], [BLAST Microbial P col1], [BLAST Microbial P col2], [Molecular Weight (kDa)],
       3 AS Sample, 'P8' AS Station, 70 AS 'Depth (m)', CAST([(G3)-S8-70m] AS INT) AS [Spectral Count]
FROM [446].[Cleaned_Saito_GEOMICS1D_SubsurfaceProteins_withprelimcounts.csv];",YES,type-mismatch-condition
"SELECT  Source,  COUNT(Label) FROM  [446].[GeoMICS_key.csv] GROUP BY  Source","SELECT  Source, 
        COUNT(Label), 
        Label  -- NOn-aggregated column added to create an error
FROM  [446].[GeoMICS_key.csv] 
GROUP BY  Source",YES,aggr-attribute
"SELECT * max(salary),  min(salary),  avg(salary),  count(*) FROM  ( SELECT  Name,  [Job Title] as job_title, [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE --job_title like '%RESEAR%PRINCI%' job_title like 'ASSISTANT PROFESSOR ' --name like '%balazinska%' --AND  job_title NOt like '%APL%' AND  salary < 120800 --ORDER BY  salary desc","SELECT *, 
       MAX(salary) AS max_salary, 
       MIN(salary) AS min_salary, 
       AVG(salary) AS avg_salary, 
       COUNT(*) AS total
FROM (SELECT Name, 
             [Job Title] AS job_title, 
             [2010 Gross Earnings] AS salary 
      FROM [1314howe].[uw_salaries_2011.txt]
      WHERE job_title = 'ASSISTANT PROFESSOR'
            AND salary < 120800) AS x
HAVING AVG(salary) > 100000;",YES,aggr-having
SELECT  CAST(score AS FLOAT) AS scoreNum FROM  [823].[CGbigill5x_asgff],SELECT  CAST(score AS FLOAT) AS scoreNum FROM  [823].[CGbigill5x_asgff] where floatnum.ab=3;,YES,alias-undefined
"SELECT  cast(date + ' ' + time as datetime) as timestamp,  location,  event_kNOts,  current_intensity FROM  [1052].[Pile Point Currents 00-11.txt] ORDER BY  cast(date + ' ' + time as datetime)","SELECT  cast(a.date + ' ' + a.time as datetime) as timestamp,  
        location, 
        event_kNOts,  
        current_intensity 
FROM  [1052].[Pile Point Currents 00-11.txt]
ORDER BY  cast(x.date + ' ' + x.time as datetime);",YES,alias-undefined
"SELECT  cast( datepart(hour,  binid) as varchar(2)) + ':00' as hour,  binid as timestamp,  salinity as salinity,  fluorescence,  transmission,  [(O2/Ar)sat] as oxygen_sat,  pop as seaflow_pop,  conc as seaflow_conc,  chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM  [1314howe].[SDS and Seaflow Joined with Biological productivity] ORDER BY  binid asc","SELECT  cast( datepart(hour,  binid) as varchar(2)) + ':00' as hour,  binid as timestamp,  salinity as salinity,  fluorescence,  transmission,  [(O2/Ar)sat] as oxygen_sat,  pop as seaflow_pop,  conc as seaflow_conc,  chl_big as seaflow_chl,  fsc_big as seaflow_fsc,  pe as seaflow_pe FROM  [1314howe].[SDS and Seaflow Joined with Biological productivity] ORDER BY  binid asc",NO,NO Error
"select distinct a.fullname,  p.id as pubID from field f,  author a,  publication p where f.p='author' and f.k=p.id and f.v=a.fullname","SELECT MAX(a.fullname) AS fullname,  -- Misusing MAX() on a textual column without GROUP BY
       p.id as pubID
FROM field f,  
     author a,  
     publication p 
WHERE f.p='author' 
      AND f.k=p.id 
      AND f.v=a.fullname;",YES,aggr-attribute
"SELECT  Count (*) From ( SELECT * FROM  [1123].[BiGo_mito_cleam] where context like '__CT_' --modified respectively for CA,  CT,  CC and CT_Count >= 5 and ratio > 0) --modified respectively for zero methylation (= 0.000 ) betty","SELECT  Count (*) From ( SELECT * FROM  [1123].[BiGo_mito_cleam] where context like '__CT_' --modified respectively for CA,  CT,  CC and CT_Count >= ""anti"" and ratio > 'a') --modified respectively for zero methylation (= 0.000 ) betty",YES,type-mismatch-condition
"SELECT  x % 103 AS bucket,  SUM(sumdegree) AS edges FROM  [354].[twitter_rv.6200000.sumdegree] GROUP BY  (x % 103) ORDER BY  edges desc","SELECT x % 103 AS bucket, 
       SUM(sumdegree) AS edges
FROM [354].[twitter_rv.6200000.sumdegree]
GROUP BY (x % 103)
HAVING AVG(sumdegree) > '1000'
ORDER BY edges DESC;",YES,type-mismatch-condition
"WITH  data (species,  latitude,  longitude) AS (SELECT  * from [690].[All3col]),  bounds (minLat, minLong, maxLat, maxLong) AS (SELECT  min(latitude), min(longitude), max(latitude), max(longitude) FROM  data) SELECT  * FROM  bounds","WITH 
data (species, latitude, longitude) AS (
    SELECT * FROM [690].[All3col]
),
bounds (minLat, minLong, maxLat, maxLong) AS (
    SELECT min(latitude), min(longitude), max(latitude), max(longitude) FROM data
)
SELECT AVG(minLat) AS AverageMinLat, -- Using AVG without a proper context
       minLong, 
       maxLat, 
       maxLong 
FROM bounds;",YES,aggr-attribute
"select category from ( SELECT  case when budget = 'Moore' then 'Moore/Sloan' when budget = 'Sloan' then 'Moore/Sloan' else budget end as budget ,  case when Description Like '%Faculty:%' and category_label = 'Salaries' then 'Faculty' when Description Like '%Faculty:%' and category_label = 'Benefits' then 'Faculty' when Description Like '%tudents%' and category_label = 'Salaries' then 'Students' when Description Like '%tudents%' and category_label = 'Benefits' then 'Students' when Description Like '%ost-doc%' and category_label = 'Benefits' then 'Postdoc' when Description Like '%ost-doc%' and category_label = 'Salaries' then 'Postdoc' when Description Like '%Pro Staff%' and category_label = 'Salaries' then 'Research Staff' when Description Like '%Pro Staff%' and category_label = 'Benefits' then 'Research Staff' when Description Like '%Admin Pro%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Admin Pro%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Classified Staff%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Bill%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%visiting%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Chance%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hyak%' and category_label = 'Benefits' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Salaries' then 'Admin Staff' when Description Like '%Hourly%' and category_label = 'Benefits' then 'Admin Staff' when category_label = 'Consulting' or category_label = 'Equipment' or category_label = 'Supplies' or category_label = 'Contractual Services' or category_label='Recharge' then 'Other' else category_label end as category ,  Description ,  case when len(INV_Date) <2 then NULL when PO_Invoice = 'CR3566' then '9/1/2015' else cast(inv_date as date) end as inv_date ,  cast(case when BAR_Amt is null then Encumbered else BAR_Amt end as float) as amount ,  cd,  PO_Invoice,  Encumbered FROM  [1314howe].[ALL_Operations_Details.csv] ) x group by category","select category from (
    SELECT
        case when budget = 'Moore' then 'Moore/Sloan'
             when budget = 'Sloan' then 'Moore/Sloan'
             else budget
        end as budget,
        case when Description Like '%Faculty:%' and category_label = 'Salaries' then 'Faculty'
             when Description Like '%Faculty:%' and category_label = 'Benefits' then 'Faculty'
             when Description Like '%tudents%' and category_label = 'Salaries' then 'Students'
             when Description Like '%tudents%' and category_label = 'Benefits' then 'Students'
             when Description Like '%ost-doc%' and category_label = 'Benefits' then 'Postdoc'
             when Description Like '%ost-doc%' and category_label = 'Salaries' then 'Postdoc'
             when Description Like '%Pro Staff%' and category_label = 'Salaries' then 'Research Staff'
             when Description Like '%Pro Staff%' and category_label = 'Benefits' then 'Research Staff'
             when Description Like '%Admin Pro%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Admin Pro%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%Classified Staff%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Classified Staff%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%Bill%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Bill%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%visiting%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%visiting%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%Chance%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Chance%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%Hyak%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Hyak%' and category_label = 'Benefits' then 'Admin Staff'
             when Description Like '%Hourly%' and category_label = 'Salaries' then 'Admin Staff'
             when Description Like '%Hourly%' and category_label = 'Benefits' then 'Admin Staff'
             when category_label = 'Consulting' or category_label = 'Equipment' or category_label = 'Supplies' or category_label = 'Contractual Services' or category_label='Recharge' then 'Other'
             else category_label
        end as category,
        Description,
        case when len(INV_Date) <2 then NULL
             when PO_Invoice = 'CR3566' then '9/1/2015'
             else cast(inv_date as date)
        end as inv_date,
        cast(case when BAR_Amt is null then Encumbered else BAR_Amt end as float) as amount,
        cd,
        PO_Invoice,
        Encumbered
    FROM [1314howe].[ALL_Operations_Details.csv]
) x
group by category",YES,alias-ambiguous
SELECT  * FROM  [TEST prot pep IDs] WHERE  [peptide sequence] IN (SELECT  [peptide sequence] FROM  [412].[TEST prot pep IDs] GROUP BY  [peptide sequence] HAVING COUNT (*) < 2),"SELECT * 
FROM [TEST prot pep IDs] 
WHERE [peptide sequence] IN (
    SELECT [peptide sequence] 
    FROM [412].[TEST prot pep IDs] 
    GROUP BY [peptide sequence] 
    HAVING SUM(LENGTH([peptide sequence])) < 10 ",YES,aggr-having
"SELECT  distinct n.isolate_id,  s.subject_ids,  n.sub_bag_NO,  n.sub_q,  n.date,  n.date_trashed,  n.cp_q,  n.cp_bag_NO,  n.date_2,  n.date_trashed_2,  n.to_be_regrown,  n.arc1327e_q,  a.concat_arc1327e_boxes,  l.concat_locations,  ad.concat_arc1327e_dates,  n.NOtes FROM  [table_nearly_winNOwed_subqry.csv] n full outer join [table_isol_concat_subj_id.csv] s on (s.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_box.csv] a on (a.isolate_id = n.isolate_id) full outer join [table_isol_concat_locn.csv] l on (l.isolate_id = n.isolate_id) full outer join [table_isol_concat_arch_date.csv] ad on (ad.isolate_id = n.isolate_id)","SELECT distinct
    isolate_id,
    s.subject_ids,
    n.sub_bag_NO,
    n.sub_q,
    n.date,
    n.date_trashed,
    n.cp_q,
    n.cp_bag_NO,
    n.date_2,
    n.date_trashed_2,
    n.to_be_regrown,
    n.arc1327e_q,
    a.concat_arc1327e_boxes,
    l.concat_locations,
    ad.concat_arc1327e_dates,
    n.NOtes
FROM
    [table_nearly_winNOwed_subqry.csv] n
FULL OUTER JOIN [table_isol_concat_subj_id.csv] s ON (s.isolate_id = n.isolate_id)
FULL OUTER JOIN [table_isol_concat_arch_box.csv] a ON (a.isolate_id = n.isolate_id)
FULL OUTER JOIN [table_isol_concat_locn.csv] l ON (l.isolate_id = n.isolate_id)
FULL OUTER JOIN [table_isol_concat_arch_date.csv] ad ON (ad.isolate_id = n.isolate_id)
ORDER BY isolate_id",YES,alias-ambiguous
"SELECT  ind from (SELECT  res_type_sh,  pdb_id,  res_index AS ind FROM  [1267].[h2_w_2.csv]) AS R1","SELECT  ind from (SELECT  res_type_sh,  pdb_id,  res_index AS ind FROM  [1267].[h2_w_2.csv]) AS R1",NO,NO Error
