SQL_Statement,Modified_Statements,Syntax_Error_sdss,Missing_type_sdss,Missing_word_sdss,Missing Element(Generalization),Missing_position_sdss
" SELECT s.fiberid, s.plate, s.mjd, s.run2d, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid "," SELECT s.fiberid, , s.mjd, s.run2d, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid ",YES,Missing Column,s.plate,Column Name,3
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237648722307056074","select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237648722307056074",NO,N/A,N/A,N/A,0
" SELECT TOP 10 * FROM Star WHERE skyVersion = 2 AND run = 109 AND rerun = 301 AND camcol = 4 AND field = 39 AND obj = 102"," SELECT TOP 10 * FROM  WHERE skyVersion = 2 AND run = 109 AND rerun = 301 AND camcol = 4 AND field = 39 AND obj = 102",YES,Missing Table,Star,Table Name,6
"select a.objid,b.ra,b.dec,run,camcol,field into mydb.MyTable from myDB.sdssqso as a,photoobjall as b where a.objid=b.objid","select a.objid,b.ra,b.dec,run,camcol,field into mydb.MyTable from myDB.sdssqso as a,photoobjall as b where a.objid=b.objid",NO,N/A,N/A,N/A,0
select count(*) from photoobjall where run=4895 and camcol=4 and field=164,select count(*) from photoobjall where =4895 and camcol=4 and field=164,YES,Missing Column,run,Column Name,9
"select star.objID, star.rowc, star.colc, star.ra, star.dec, star.u, star.g, star.r, star.i, star.z, SpecObj.class, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate, star.b, star.nObserve, star.nDetect, star.nEdge, star.score, star.nChild, star.probPSF from star, SpecObj where star.objID = specObj.targetObjID and SpecObj.fiberID = 596 and SpecObj.mjd = 55359 and SpecObj.run2d = 'v5_10_0' and SpecObj.plate = 4055","select star.objID, star.rowc, star.colc, star.ra, star.dec, star.u, star.g, star.r, star.i, star.z, SpecObj.class, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate, star.b, star.nObserve, star.nDetect, star.nEdge, star.score, star.nChild, star.probPSF from star, SpecObj where star.objID = specObj.targetObjID and SpecObj.fiberID = 596 and SpecObj.mjd = 55359 and SpecObj.run2d = 'v5_10_0' and SpecObj.plate = 4055",NO,N/A,N/A,N/A,0
" SELECT TOP 10000 s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning, g.h_beta_flux, g.h_alpha_flux, g.h_beta_flux_err, g.h_alpha_flux_err, e.bptclass, e.lgm_tot_p50, i.lick_hd_a_sub, i.d4000_n_sub, i.lick_hd_a_sub_err, i.d4000_n_sub_err, p.petror90_r FROM GalSpecLine AS g, SpecObj AS s, GalSpecExtra AS e, GalSpecIndx AS i, galaxy AS p WHERE s.specobjid = g.specobjid AND s.specobjid = e.specobjid AND s.specobjid = i.specobjid AND s.bestobjid = p.objid AND bptclass = 1 AND s.z BETWEEN 0.04 and 0.1 AND h_alpha_flux > h_alpha_flux_err*5.0 AND h_beta_flux > h_beta_flux_err*5.0 AND d4000_n_sub > d4000_n_sub_err*5.0 AND h_alpha_flux_err > 0 AND h_beta_flux_err > 0 AND h_alpha_flux > 2.7*h_beta_flux AND lgm_tot_p50 > 0 AND sigma_balmer < 509.55 AND s.class = 'GALAXY' AND s.zwarning = 0 "," SELECT TOP 10000 s.plate, s.fiberid, s.mjd, s.ra, s.dec, s.z, s.zwarning, g.h_beta_flux, g.h_alpha_flux, g.h_beta_flux_err, g.h_alpha_flux_err, e.bptclass, e.lgm_tot_p50, i.lick_hd_a_sub, i.d4000_n_sub, , i.d4000_n_sub_err, p.petror90_r FROM GalSpecLine AS g, SpecObj AS s, GalSpecExtra AS e, GalSpecIndx AS i, galaxy AS p WHERE s.specobjid = g.specobjid AND s.specobjid = e.specobjid AND s.specobjid = i.specobjid AND s.bestobjid = p.objid AND bptclass = 1 AND s.z BETWEEN 0.04 and 0.1 AND h_alpha_flux > h_alpha_flux_err*5.0 AND h_beta_flux > h_beta_flux_err*5.0 AND d4000_n_sub > d4000_n_sub_err*5.0 AND h_alpha_flux_err > 0 AND h_beta_flux_err > 0 AND h_alpha_flux > 2.7*h_beta_flux AND lgm_tot_p50 > 0 AND sigma_balmer < 509.55 AND s.class = 'GALAXY' AND s.zwarning = 0 ",YES,Missing Column,i.lick_hd_a_sub_err,Column Name,19
select text from DBObjects where name='Galaxy',select text from DBObjects where name=,YES,Missing Value,Galaxy',Value,6
"select top 12000 p.objid, p.field, p.ra, p.dec, p.b, p.l, p.run, p.mjd, s.plate, s.fiberid, s.z, s.class from specobj as s join photoobj as p on p.objid=s.bestobjid where p.ra between 150 and 240 and p.dec between 0 and 3 and s.z between 0.005 and 0.2 and p.r between 13.5 and 17.7","select top 12000 p.objid, p.field, p.ra, p.dec, p.b, p.l, p.run, p.mjd, s.plate, s.fiberid, s.z, s.class from specobj as s join photoobj as p on p.objid=s.bestobjid where p.ra between 150 and 240 and p.dec between 0 and 3 and s.z between 0.005 and 0.2 and p.r between 13.5 and 17.7",NO,N/A,N/A,N/A,0
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between 125.46676 and 125.74822) and (dec between 61.22044 and 61.44999)","SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, , modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between 125.46676 and 125.74822) and (dec between 61.22044 and 61.44999)",YES,Missing Column,modelMag_z,Column Name,9
" SELECT top 20 specObjID, fiberID, mjd, plate, run2d, ra, dec FROM SpecObj WHERE run2d='v5_13_2' AND ra BETWEEN 200 AND 220"," SELECT top 20 specObjID, fiberID, mjd, , run2d, ra, dec FROM SpecObj WHERE run2d='v5_13_2' AND ra BETWEEN 200 AND 220",YES,Missing Column,plate,Column Name,5
" SELECT top 20 specObjID FROM SpecObj WHERE run2d='nonexistent'"," SELECT top 20 specObjID FROM SpecObj WHERE run2d=",YES,Missing Value,nonexistent,Value,8
"SELECT top 1 SpecObj.specObjID, SpecObj.ra, SpecObj.dec, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate from SpecObj","SELECT top 1 SpecObj.specObjID, SpecObj.ra, SpecObj.dec, SpecObj.fiberID, SpecObj.mjd, SpecObj.run2d, SpecObj.plate from SpecObj",NO,N/A,N/A,N/A,0
"select top 12000 objid, z,((z+1)*(z+1)-1)/((z+1)*(z+1)+1) as z_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792 as Kmsec_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792/67.4 as DistMpc_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792*3.26/67.4 as DistMly_zr, ra, dec, class,subclass, psfmag_r from specphoto where ra between 150 and 240 and dec between 0 and 3 and z between 0.005 and 0.2 and psfmag_r between 13.5 and 17.7","select top 12000 objid, z,((z+1)*(z+1)-1)/((z+1)*(z+1)+1) as z_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792 as Kmsec_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792/67.4 as DistMpc_zr, ((z+1)*(z+1)-1)/((z+1)*(z+1)+1)*299792*3.26/67.4 as DistMly_zr, ra, dec, class,subclass, psfmag_r from  where ra between 150 and 240 and dec between 0 and 3 and z between 0.005 and 0.2 and psfmag_r between 13.5 and 17.7",YES,Missing Table,specphoto,Table Name,22
select name from sysobjects where type='p' and category=0 order by name asc,select name from  where type='p' and category=0 order by name asc,YES,Missing Table,sysobjects,Table Name,4
"select name from sysobjects where xtype in (N'FN', N'IF', N'TF', N'FS', N'FT') order by name asc","select name from sysobjects where  in (N'FN', N'IF', N'TF', N'FS', N'FT') order by name asc",YES,Missing Column,xtype,Column Name,6
"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_g, type_g, psfMagErr_g FROM PhotoPrimary WHERE (ra between 198.27956 and 198.60239) and (dec between 6.74765 and 7.09409)","SELECT ra,  ,type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_g, type_g, psfMagErr_g FROM PhotoPrimary WHERE (ra between 198.27956 and 198.60239) and (dec between 6.74765 and 7.09409)",YES,Missing Column,dec,Column Name,3
"SELECT TOP 1 rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN 125.427975 and 125.467975 AND dec BETWEEN 17.771767 and 17.811767 ","SELECT TOP 1 rerun, camcol, field FROM PhotoObj WHERE ra  125.427975 and 125.467975 AND dec BETWEEN 17.771767 and 17.811767 ",YES,Missing Keyword,BETWEEN,BETWEEN,11
select dbo.fGetUrlFitsSpectrum(8255250786331940864) as url," dbo.fGetUrlFitsSpectrum(8255250786331940864) as url",YES,Missing Keyword,select,SELECT,1
"select top 5000 p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(3,3,0.6) n  where p.objId=n.objId","select top 5000 p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from  p, dbo.fGetNearbyObjEq(3,3,0.6) n  where p.objId=n.objId",YES,Missing Table,fPhotoTypeN,Table Name,33
select description from DataConstants where field='PhotoMode'  and [name]='',select description from  where field='PhotoMode'  and [name]='',YES,Missing Table,DataConstants,Table Name,4
"select name, type, description from DBObjects where  type in ('F','P') and access='U' and UPPER(name) like '%PhotoMode%'","select name, type, description from DBObjects where  type in ('F','P') and access 'U' and UPPER(name) like '%PhotoMode%'",YES,Missing Comparison,=',Comparison Operator,12
select text from DBObjects where name='stellarMassPCAWiscBC03',select text  DBObjects where name='stellarMassPCAWiscBC03',YES,Missing Keyword,from,FROM,3
"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns('PhotoObj') ORDER BY [columnID]","select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns('PhotoObj') BY [columnID]",YES,Missing Keyword,ORDER,ORDER,11
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1090 AND s.mjd=52903 AND s.fiberid=135)","SELECT DISTINCT s . run2d , s . plate , s . mjd , s . fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p . objID = s . bestObjID WHERE s . plate = 1090 s . mjd = 52903 AND s . fiberid = 135",YES,Missing Keyword,AND,AND,20
drop table [MyTable_41]," table [MyTable_41]",YES,Missing Keyword,drop,DROP,1
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-55075'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
","SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM  AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-55075'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
",YES,Missing Table,mangaDRPall,Table Name,105
"select top 20 ra,dec,class,z,zErr,zWarning,elodieBV into mydb.mytestv5 from specobj 
where class = 'QSO' ","select top 20 ra,dec,class,z,zErr,zWarning,elodieBV into mydb.mytestv5 from specobj 
where class = 'QSO' ",NO,N/A,N/A,N/A,0
"CREATE TABLE upload ( up_id int, up_name varchar(32), up_ra float, up_dec float ) 
"," TABLE upload ( up_id int, up_name varchar(32), up_ra float, up_dec float ) 
",YES,Missing Keyword,CREATE,CREATE,1
"INSERT INTO upload values ( 1, 'A1', 15.5, 0.5),( 2, 'A2', 14.5, 0.6),( 3, 'A3', 13.9, 0.8),( 4, 'A4', 197.614, 18.438)","INSERT  upload values ( 1, 'A1', 15.5, 0.5),( 2, 'A2', 14.5, 0.6),( 3, 'A3', 13.9, 0.8),( 4, 'A4', 197.614, 18.438)",YES,Missing Keyword,INTO,INTO,2
"SELECT u.up_name as name, _x000D_
 p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,_x000D_
 dbo.fPhotoTypeN(p.type) as type,_x000D_
 p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z_x000D_
FROM #upload u_x000D_
 JOIN #x x ON x.up_id = u.up_id_x000D_
 JOIN PhotoTag p ON p.objID = x.objID_x000D_
ORDER by x.up_id_x000D_
','5000', @log=0, @filter=1","SELECT u.up_name as name, _x000D_
 p.objID, p.ra, p.dec, p.run, p.rerun, , p.field,_x000D_
 dbo.fPhotoTypeN(p.type) as type,_x000D_
 p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z_x000D_
FROM #upload u_x000D_
 JOIN #x x ON x.up_id = u.up_id_x000D_
 JOIN PhotoTag p ON p.objID = x.objID_x000D_
ORDER by x.up_id_x000D_
','5000', @log=0, @filter=1",YES,Missing Column,p.camcol,Column Name,13
